Started at: 15:38:10
['/DATA/rohan_kirti/country/italy/RBQ/Italy_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/italy/RBQ/Italy_RBQ.xlsx
✅ Saved → RBQ | Calcio | Row 144
✅ Saved → RBQ | Calcio | Row 145
✅ Saved → RBQ | Calcio | Row 146
✅ Saved → RBQ | Calcio | Row 147
✅ Saved → RBQ | Bocc | Row 0
✅ Saved → RBQ | Bocc | Row 1
✅ Saved → RBQ | Bocc | Row 2
✅ Saved → RBQ | Bocc | Row 3
✅ Saved → RBQ | Bocc | Row 4
✅ Saved → RBQ | Bocc | Row 5
✅ Saved → RBQ | Bocc | Row 6
✅ Saved → RBQ | Bocc | Row 7
✅ Saved → RBQ | Bocc | Row 8
✅ Saved → RBQ | Bocc | Row 9
✅ Saved → RBQ | Bocc | Row 10
✅ Saved → RBQ | Bocc | Row 11
✅ Saved → RBQ | Bocc | Row 12
✅ Saved → RBQ | Bocc | Row 13
✅ Saved → RBQ | Bocc | Row 14
✅ Saved → RBQ | Bocc | Row 15
✅ Saved → RBQ | Bocc | Row 16
✅ Saved → RBQ | Bocc | Row 17
✅ Saved → RBQ | Bocc | Row 18
✅ Saved → RBQ | Bocc | Row 19
✅ Saved → RBQ | Bocc | Row 20
✅ Saved → RBQ | Bocc | Row 21
✅ Saved → RBQ | Bocc | Row 22
✅ Saved → RBQ | Bocc | Row 23
✅ Saved → RBQ | Bocc | Row 24
✅ Saved → RBQ | Bocc | Row 25
✅ Saved → RBQ | Bocc | Row 26
✅ Saved → RBQ | Bocc | Row 27
✅ Saved → RBQ | Bocc | Row 28
✅ Saved → RBQ | Bocc | Row 29
✅ Saved → RBQ | Bocc | Row 30
✅ Saved → RBQ | Bocc | Row 31
✅ Saved → RBQ | Bocc | Row 32
✅ Saved → RBQ | Bocc | Row 33
✅ Saved → RBQ | Bocc | Row 34
✅ Saved → RBQ | Bocc | Row 35
✅ Saved → RBQ | Bocc | Row 36
✅ Saved → RBQ | Bocc | Row 37
✅ Saved → RBQ | Bocc | Row 38
✅ Saved → RBQ | Bocc | Row 39
✅ Saved → RBQ | Bocc | Row 40
✅ Saved → RBQ | Bocc | Row 41
✅ Saved → RBQ | Bocc | Row 42
✅ Saved → RBQ | Bocc | Row 43
✅ Saved → RBQ | Bocc | Row 44
✅ Saved → RBQ | Bocc | Row 45
✅ Saved → RBQ | Bocc | Row 46
✅ Saved → RBQ | Bocc | Row 47
✅ Saved → RBQ | Bocc | Row 48
✅ Saved → RBQ | Bocc | Row 49
✅ Saved → RBQ | Bocc | Row 50
✅ Saved → RBQ | Bocc | Row 51
✅ Saved → RBQ | Bocc | Row 52
✅ Saved → RBQ | Bocc | Row 53
✅ Saved → RBQ | Bocc | Row 54
✅ Saved → RBQ | Bocc | Row 55
✅ Saved → RBQ | Bocc | Row 56
✅ Saved → RBQ | Bocc | Row 57
✅ Saved → RBQ | Bocc | Row 58
✅ Saved → RBQ | Bocc | Row 59
✅ Saved → RBQ | Bocc | Row 60
✅ Saved → RBQ | Bocc | Row 61
✅ Saved → RBQ | Bocc | Row 62
✅ Saved → RBQ | Bocc | Row 63
✅ Saved → RBQ | Bocc | Row 64
✅ Saved → RBQ | Bocc | Row 65
✅ Saved → RBQ | Bocc | Row 66
✅ Saved → RBQ | Bocc | Row 67
✅ Saved → RBQ | Bocc | Row 68
✅ Saved → RBQ | Bocc | Row 69
✅ Saved → RBQ | Bocc | Row 70
✅ Saved → RBQ | Bocc | Row 71
✅ Saved → RBQ | Bocc | Row 72
✅ Saved → RBQ | Bocc | Row 73
✅ Saved → RBQ | Bocc | Row 74
✅ Saved → RBQ | Bocc | Row 75
✅ Saved → RBQ | Bocc | Row 76
✅ Saved → RBQ | Bocc | Row 77
✅ Saved → RBQ | Bocc | Row 78
✅ Saved → RBQ | Bocc | Row 79
✅ Saved → RBQ | Bocc | Row 80
✅ Saved → RBQ | Bocc | Row 81
✅ Saved → RBQ | Bocc | Row 82
✅ Saved → RBQ | Bocc | Row 83
✅ Saved → RBQ | Bocc | Row 84
✅ Saved → RBQ | Bocc | Row 85
✅ Saved → RBQ | Bocc | Row 86
