Started at: 20:40:09
['/DATA/rohan_kirti/country/france/RBQ/France_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/france/RBQ/France_RBQ.xlsx
✅ Saved → RBQ | Nautical_Jousting | Row 115
✅ Saved → RBQ | Nautical_Jousting | Row 116
✅ Saved → RBQ | Nautical_Jousting | Row 117
✅ Saved → RBQ | Nautical_Jousting | Row 118
✅ Saved → RBQ | Nautical_Jousting | Row 119
✅ Saved → RBQ | Nautical_Jousting | Row 120
✅ Saved → RBQ | Nautical_Jousting | Row 121
✅ Saved → RBQ | Nautical_Jousting | Row 122
✅ Saved → RBQ | Nautical_Jousting | Row 123
✅ Saved → RBQ | Nautical_Jousting | Row 124
✅ Saved → RBQ | Nautical_Jousting | Row 125
✅ Saved → RBQ | Nautical_Jousting | Row 129
✅ Saved → RBQ | Nautical_Jousting | Row 130
✅ Saved → RBQ | Nautical_Jousting | Row 137
✅ Saved → RBQ | Tambourin | Row 0
✅ Saved → RBQ | Tambourin | Row 1
✅ Saved → RBQ | Tambourin | Row 2
✅ Saved → RBQ | Tambourin | Row 3
✅ Saved → RBQ | Tambourin | Row 4
✅ Saved → RBQ | Tambourin | Row 5
✅ Saved → RBQ | Tambourin | Row 6
✅ Saved → RBQ | Tambourin | Row 7
✅ Saved → RBQ | Tambourin | Row 8
✅ Saved → RBQ | Tambourin | Row 9
✅ Saved → RBQ | Tambourin | Row 10
✅ Saved → RBQ | Tambourin | Row 11
✅ Saved → RBQ | Tambourin | Row 12
✅ Saved → RBQ | Tambourin | Row 13
✅ Saved → RBQ | Tambourin | Row 14
✅ Saved → RBQ | Tambourin | Row 15
✅ Saved → RBQ | Tambourin | Row 16
✅ Saved → RBQ | Tambourin | Row 17
✅ Saved → RBQ | Tambourin | Row 18
✅ Saved → RBQ | Tambourin | Row 19
✅ Saved → RBQ | Tambourin | Row 20
✅ Saved → RBQ | Tambourin | Row 21
✅ Saved → RBQ | Tambourin | Row 22
✅ Saved → RBQ | Tambourin | Row 23
✅ Saved → RBQ | Tambourin | Row 24
✅ Saved → RBQ | Tambourin | Row 25
✅ Saved → RBQ | Tambourin | Row 26
✅ Saved → RBQ | Tambourin | Row 27
✅ Saved → RBQ | Tambourin | Row 28
✅ Saved → RBQ | Tambourin | Row 29
✅ Saved → RBQ | Tambourin | Row 30
✅ Saved → RBQ | Tambourin | Row 31
✅ Saved → RBQ | Tambourin | Row 32
✅ Saved → RBQ | Tambourin | Row 33
✅ Saved → RBQ | Tambourin | Row 34
✅ Saved → RBQ | Tambourin | Row 35
✅ Saved → RBQ | Tambourin | Row 36
✅ Saved → RBQ | Tambourin | Row 37
✅ Saved → RBQ | Tambourin | Row 38
✅ Saved → RBQ | Tambourin | Row 39
✅ Saved → RBQ | Tambourin | Row 40
