Started at: 10:35:33

📌 Processing: /DATA/rohan_kirti/country/Bengali/RBQ/Bangladesh_RBQ.xlsx
✅ Saved → RBQ | dariabandha | Row 17
✅ Saved → RBQ | dariabandha | Row 18
✅ Saved → RBQ | dariabandha | Row 19
✅ Saved → RBQ | dariabandha | Row 20
✅ Saved → RBQ | dariabandha | Row 21
✅ Saved → RBQ | dariabandha | Row 22
✅ Saved → RBQ | dariabandha | Row 23
✅ Saved → RBQ | dariabandha | Row 24
✅ Saved → RBQ | dariabandha | Row 25
✅ Saved → RBQ | dariabandha | Row 26
✅ Saved → RBQ | dariabandha | Row 27
✅ Saved → RBQ | dariabandha | Row 28
✅ Saved → RBQ | dariabandha | Row 29
✅ Saved → RBQ | dariabandha | Row 30
✅ Saved → RBQ | dariabandha | Row 31
✅ Saved → RBQ | dariabandha | Row 32
✅ Saved → RBQ | dariabandha | Row 33
✅ Saved → RBQ | dariabandha | Row 34
✅ Saved → RBQ | dariabandha | Row 35
✅ Saved → RBQ | dariabandha | Row 36
✅ Saved → RBQ | dariabandha | Row 37
✅ Saved → RBQ | dariabandha | Row 38
✅ Saved → RBQ | dariabandha | Row 39
✅ Saved → RBQ | dariabandha | Row 40
✅ Saved → RBQ | dariabandha | Row 41
✅ Saved → RBQ | dariabandha | Row 42
✅ Saved → RBQ | dariabandha | Row 43
✅ Saved → RBQ | dariabandha | Row 44
✅ Saved → RBQ | dariabandha | Row 45
✅ Saved → RBQ | dariabandha | Row 46
✅ Saved → RBQ | dariabandha | Row 47
✅ Saved → RBQ | dariabandha | Row 48
✅ Saved → RBQ | dariabandha | Row 49
✅ Saved → RBQ | dariabandha | Row 50
✅ Saved → RBQ | dariabandha | Row 51
✅ Saved → RBQ | dariabandha | Row 52
✅ Saved → RBQ | dariabandha | Row 53
✅ Saved → RBQ | dariabandha | Row 54
✅ Saved → RBQ | dariabandha | Row 55
✅ Saved → RBQ | dariabandha | Row 56
✅ Saved → RBQ | dariabandha | Row 57
✅ Saved → RBQ | dariabandha | Row 58
✅ Saved → RBQ | dariabandha | Row 59
✅ Saved → RBQ | dariabandha | Row 60
✅ Saved → RBQ | dariabandha | Row 61
✅ Saved → RBQ | dariabandha | Row 62
✅ Saved → RBQ | dariabandha | Row 63
✅ Saved → RBQ | dariabandha | Row 64
✅ Saved → RBQ | dariabandha | Row 65
✅ Saved → RBQ | dariabandha | Row 66
✅ Saved → RBQ | dariabandha | Row 67
✅ Saved → RBQ | dariabandha | Row 68
✅ Saved → RBQ | dariabandha | Row 69
✅ Saved → RBQ | dariabandha | Row 70
✅ Saved → RBQ | dariabandha | Row 71
✅ Saved → RBQ | dariabandha | Row 72
✅ Saved → RBQ | dariabandha | Row 73
✅ Saved → RBQ | dariabandha | Row 74
✅ Saved → RBQ | dariabandha | Row 75
✅ Saved → RBQ | dariabandha | Row 76
✅ Saved → RBQ | dariabandha | Row 77
✅ Saved → RBQ | dariabandha | Row 78
✅ Saved → RBQ | dariabandha | Row 79
✅ Saved → RBQ | dariabandha | Row 80
✅ Saved → RBQ | dariabandha | Row 81
✅ Saved → RBQ | dariabandha | Row 82
✅ Saved → RBQ | dariabandha | Row 83
✅ Saved → RBQ | dariabandha | Row 84
✅ Saved → RBQ | dariabandha | Row 85
✅ Saved → RBQ | dariabandha | Row 86
✅ Saved → RBQ | dariabandha | Row 87
✅ Saved → RBQ | dariabandha | Row 88
✅ Saved → RBQ | dariabandha | Row 89
✅ Saved → RBQ | dariabandha | Row 90
✅ Saved → RBQ | dariabandha | Row 91
✅ Saved → RBQ | dariabandha | Row 92
✅ Saved → RBQ | dariabandha | Row 93
✅ Saved → RBQ | dariabandha | Row 94
✅ Saved → RBQ | dariabandha | Row 95
✅ Saved → RBQ | dariabandha | Row 96
✅ Saved → RBQ | dariabandha | Row 97
✅ Saved → RBQ | dariabandha | Row 98
✅ Saved → RBQ | dariabandha | Row 99
✅ Saved → RBQ | dariabandha | Row 100
✅ Saved → RBQ | dariabandha | Row 101
✅ Saved → RBQ | dariabandha | Row 102
✅ Saved → RBQ | dariabandha | Row 103
✅ Saved → RBQ | dariabandha | Row 104
✅ Saved → RBQ | dariabandha | Row 105
✅ Saved → RBQ | dariabandha | Row 106
✅ Saved → RBQ | dariabandha | Row 107
✅ Saved → RBQ | dariabandha | Row 108
✅ Saved → RBQ | dariabandha | Row 109
✅ Saved → RBQ | dariabandha | Row 110
✅ Saved → RBQ | dariabandha | Row 111
✅ Saved → RBQ | dariabandha | Row 112
✅ Saved → RBQ | dariabandha | Row 113
✅ Saved → RBQ | dariabandha | Row 114
✅ Saved → RBQ | dariabandha | Row 115
✅ Saved → RBQ | dariabandha | Row 116
