Started at: 20:28:35
SBQ

📌 Processing: /DATA/rohan_kirti/country/thailand/SBQ/Thailand_SBQ.xlsx
chon wua
✅ Saved → SBQ | chon wua | Row 153
✅ Saved → SBQ | chon wua | Row 154
✅ Saved → SBQ | chon wua | Row 155
✅ Saved → SBQ | chon wua | Row 156
✅ Saved → SBQ | chon wua | Row 157
✅ Saved → SBQ | chon wua | Row 159
✅ Saved → SBQ | chon wua | Row 160
✅ Saved → SBQ | chon wua | Row 161
✅ Saved → SBQ | chon wua | Row 162
✅ Saved → SBQ | chon wua | Row 163
✅ Saved → SBQ | chon wua | Row 165
✅ Saved → SBQ | chon wua | Row 166
✅ Saved → SBQ | chon wua | Row 167
✅ Saved → SBQ | chon wua | Row 168
✅ Saved → SBQ | chon wua | Row 169
✅ Saved → SBQ | chon wua | Row 171
✅ Saved → SBQ | chon wua | Row 172
✅ Saved → SBQ | chon wua | Row 173
✅ Saved → SBQ | chon wua | Row 174
✅ Saved → SBQ | chon wua | Row 175
✅ Saved → SBQ | chon wua | Row 176
✅ Saved → SBQ | chon wua | Row 177
✅ Saved → SBQ | chon wua | Row 178
✅ Saved → SBQ | chon wua | Row 179
✅ Saved → SBQ | chon wua | Row 180
✅ Saved → SBQ | chon wua | Row 181
✅ Saved → SBQ | chon wua | Row 182
✅ Saved → SBQ | chon wua | Row 183
✅ Saved → SBQ | chon wua | Row 184
✅ Saved → SBQ | chon wua | Row 185
✅ Saved → SBQ | chon wua | Row 187
✅ Saved → SBQ | chon wua | Row 188
✅ Saved → SBQ | chon wua | Row 189
✅ Saved → SBQ | chon wua | Row 190
✅ Saved → SBQ | chon wua | Row 191
✅ Saved → SBQ | chon wua | Row 192
✅ Saved → SBQ | chon wua | Row 193
✅ Saved → SBQ | chon wua | Row 194
✅ Saved → SBQ | chon wua | Row 195
✅ Saved → SBQ | chon wua | Row 196
✅ Saved → SBQ | chon wua | Row 197
✅ Saved → SBQ | chon wua | Row 198
✅ Saved → SBQ | chon wua | Row 207
✅ Saved → SBQ | chon wua | Row 208
✅ Saved → SBQ | chon wua | Row 209
✅ Saved → SBQ | chon wua | Row 210
✅ Saved → SBQ | chon wua | Row 211
✅ Saved → SBQ | chon wua | Row 212
✅ Saved → SBQ | chon wua | Row 213
✅ Saved → SBQ | chon wua | Row 214
✅ Saved → SBQ | chon wua | Row 215
✅ Saved → SBQ | chon wua | Row 216
✅ Saved → SBQ | chon wua | Row 217
✅ Saved → SBQ | chon wua | Row 218
✅ Saved → SBQ | chon wua | Row 219
✅ Saved → SBQ | chon wua | Row 220
✅ Saved → SBQ | chon wua | Row 221
✅ Saved → SBQ | chon wua | Row 222
✅ Saved → SBQ | chon wua | Row 223
✅ Saved → SBQ | chon wua | Row 224
✅ Saved → SBQ | chon wua | Row 225
✅ Saved → SBQ | chon wua | Row 226
✅ Saved → SBQ | chon wua | Row 227
✅ Saved → SBQ | chon wua | Row 229
✅ Saved → SBQ | chon wua | Row 231
✅ Saved → SBQ | chon wua | Row 233
✅ Saved → SBQ | chon wua | Row 234
✅ Saved → SBQ | chon wua | Row 236
✅ Saved → SBQ | chon wua | Row 237
✅ Saved → SBQ | chon wua | Row 238
✅ Saved → SBQ | chon wua | Row 239
✅ Saved → SBQ | chon wua | Row 241
✅ Saved → SBQ | chon wua | Row 242
✅ Saved → SBQ | chon wua | Row 243
✅ Saved → SBQ | chon wua | Row 244
✅ Saved → SBQ | chon wua | Row 245
✅ Saved → SBQ | chon wua | Row 246
✅ Saved → SBQ | chon wua | Row 247
✅ Saved → SBQ | chon wua | Row 248
✅ Saved → SBQ | chon wua | Row 249
✅ Saved → SBQ | chon wua | Row 250
✅ Saved → SBQ | chon wua | Row 251
✅ Saved → SBQ | chon wua | Row 252
✅ Saved → SBQ | chon wua | Row 253
✅ Saved → SBQ | chon wua | Row 255
✅ Saved → SBQ | chon wua | Row 259
✅ Saved → SBQ | chon wua | Row 260
✅ Saved → SBQ | chon wua | Row 261
✅ Saved → SBQ | chon wua | Row 262
✅ Saved → SBQ | chon wua | Row 263
✅ Saved → SBQ | chon wua | Row 264
✅ Saved → SBQ | chon wua | Row 267
✅ Saved → SBQ | chon wua | Row 268
✅ Saved → SBQ | chon wua | Row 269
✅ Saved → SBQ | chon wua | Row 270
✅ Saved → SBQ | chon wua | Row 271
✅ Saved → SBQ | chon wua | Row 272
✅ Saved → SBQ | chon wua | Row 273
✅ Saved → SBQ | chon wua | Row 274
✅ Saved → SBQ | chon wua | Row 275
✅ Saved → SBQ | chon wua | Row 277
✅ Saved → SBQ | chon wua | Row 281
✅ Saved → SBQ | chon wua | Row 283
✅ Saved → SBQ | chon wua | Row 284
✅ Saved → SBQ | chon wua | Row 285
✅ Saved → SBQ | chon wua | Row 286
✅ Saved → SBQ | chon wua | Row 287
✅ Saved → SBQ | chon wua | Row 288
✅ Saved → SBQ | chon wua | Row 289
✅ Saved → SBQ | chon wua | Row 290
✅ Saved → SBQ | chon wua | Row 291
✅ Saved → SBQ | chon wua | Row 292
✅ Saved → SBQ | chon wua | Row 294
✅ Saved → SBQ | chon wua | Row 295
✅ Saved → SBQ | chon wua | Row 296
✅ Saved → SBQ | chon wua | Row 297
✅ Saved → SBQ | chon wua | Row 298
✅ Saved → SBQ | chon wua | Row 299
✅ Saved → SBQ | chon wua | Row 300
✅ Saved → SBQ | chon wua | Row 301
✅ Saved → SBQ | chon wua | Row 302
✅ Saved → SBQ | chon wua | Row 303
✅ Saved → SBQ | chon wua | Row 304
✅ Saved → SBQ | chon wua | Row 305
✅ Saved → SBQ | chon wua | Row 306
