Started at: 02:10:33
['/DATA/rohan_kirti/niladri/country/indonesia/RBQ/Indonesia_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/niladri/country/indonesia/RBQ/Indonesia_RBQ.xlsx
✅ Saved → RBQ | Karapan_Sapi | Row 114
✅ Saved → RBQ | Karapan_Sapi | Row 115
✅ Saved → RBQ | Karapan_Sapi | Row 116
✅ Saved → RBQ | Karapan_Sapi | Row 117
✅ Saved → RBQ | Karapan_Sapi | Row 118
✅ Saved → RBQ | Karapan_Sapi | Row 119
✅ Saved → RBQ | Karapan_Sapi | Row 120
✅ Saved → RBQ | Karapan_Sapi | Row 121
✅ Saved → RBQ | Karapan_Sapi | Row 122
✅ Saved → RBQ | Karapan_Sapi | Row 123
✅ Saved → RBQ | Karapan_Sapi | Row 124
✅ Saved → RBQ | Karapan_Sapi | Row 125
✅ Saved → RBQ | Karapan_Sapi | Row 126
✅ Saved → RBQ | Karapan_Sapi | Row 127
✅ Saved → RBQ | Karapan_Sapi | Row 128
✅ Saved → RBQ | Karapan_Sapi | Row 129
✅ Saved → RBQ | Karapan_Sapi | Row 130
✅ Saved → RBQ | Karapan_Sapi | Row 131
✅ Saved → RBQ | Karapan_Sapi | Row 132
✅ Saved → RBQ | Karapan_Sapi | Row 133
✅ Saved → RBQ | Karapan_Sapi | Row 134
✅ Saved → RBQ | Karapan_Sapi | Row 135
✅ Saved → RBQ | Karapan_Sapi | Row 136
✅ Saved → RBQ | Karapan_Sapi | Row 137
✅ Saved → RBQ | Karapan_Sapi | Row 138
✅ Saved → RBQ | Karapan_Sapi | Row 139
✅ Saved → RBQ | Karapan_Sapi | Row 140
✅ Saved → RBQ | Karapan_Sapi | Row 141
✅ Saved → RBQ | Karapan_Sapi | Row 142
✅ Saved → RBQ | Karapan_Sapi | Row 143
✅ Saved → RBQ | Karapan_Sapi | Row 144
✅ Saved → RBQ | Karapan_Sapi | Row 145
✅ Saved → RBQ | Karapan_Sapi | Row 146
✅ Saved → RBQ | Karapan_Sapi | Row 147
✅ Saved → RBQ | Karapan_Sapi | Row 148
✅ Saved → RBQ | Karapan_Sapi | Row 149
✅ Saved → RBQ | Sepak_Takraw | Row 0
✅ Saved → RBQ | Sepak_Takraw | Row 1
✅ Saved → RBQ | Sepak_Takraw | Row 2
✅ Saved → RBQ | Sepak_Takraw | Row 3
✅ Saved → RBQ | Sepak_Takraw | Row 4
✅ Saved → RBQ | Sepak_Takraw | Row 5
✅ Saved → RBQ | Sepak_Takraw | Row 6
✅ Saved → RBQ | Sepak_Takraw | Row 7
✅ Saved → RBQ | Sepak_Takraw | Row 8
✅ Saved → RBQ | Sepak_Takraw | Row 9
✅ Saved → RBQ | Sepak_Takraw | Row 10
✅ Saved → RBQ | Sepak_Takraw | Row 11
✅ Saved → RBQ | Sepak_Takraw | Row 12
✅ Saved → RBQ | Sepak_Takraw | Row 13
✅ Saved → RBQ | Sepak_Takraw | Row 14
✅ Saved → RBQ | Sepak_Takraw | Row 15
✅ Saved → RBQ | Sepak_Takraw | Row 16
✅ Saved → RBQ | Sepak_Takraw | Row 17
