Started at: 10:34:43

📌 Processing: /DATA/rohan_kirti/country/Bengali/SBQ/Bangladesh_SBQ.xlsx
✅ Saved → SBQ | dariabandha | Row 79
✅ Saved → SBQ | dariabandha | Row 80
✅ Saved → SBQ | dariabandha | Row 81
✅ Saved → SBQ | dariabandha | Row 82
✅ Saved → SBQ | dariabandha | Row 83
✅ Saved → SBQ | dariabandha | Row 84
✅ Saved → SBQ | dariabandha | Row 85
✅ Saved → SBQ | dariabandha | Row 86
✅ Saved → SBQ | dariabandha | Row 87
✅ Saved → SBQ | dariabandha | Row 88
✅ Saved → SBQ | dariabandha | Row 89
✅ Saved → SBQ | dariabandha | Row 90
✅ Saved → SBQ | dariabandha | Row 91
✅ Saved → SBQ | dariabandha | Row 92
✅ Saved → SBQ | dariabandha | Row 93
✅ Saved → SBQ | dariabandha | Row 94
✅ Saved → SBQ | dariabandha | Row 95
✅ Saved → SBQ | dariabandha | Row 96
✅ Saved → SBQ | dariabandha | Row 97
✅ Saved → SBQ | dariabandha | Row 98
✅ Saved → SBQ | dariabandha | Row 99
✅ Saved → SBQ | dariabandha | Row 100
✅ Saved → SBQ | dariabandha | Row 101
✅ Saved → SBQ | dariabandha | Row 102
✅ Saved → SBQ | dariabandha | Row 103
✅ Saved → SBQ | dariabandha | Row 104
✅ Saved → SBQ | dariabandha | Row 105
✅ Saved → SBQ | dariabandha | Row 106
✅ Saved → SBQ | dariabandha | Row 107
✅ Saved → SBQ | dariabandha | Row 108
✅ Saved → SBQ | dariabandha | Row 109
✅ Saved → SBQ | dariabandha | Row 110
✅ Saved → SBQ | dariabandha | Row 111
✅ Saved → SBQ | dariabandha | Row 112
✅ Saved → SBQ | dariabandha | Row 113
✅ Saved → SBQ | dariabandha | Row 114
✅ Saved → SBQ | dariabandha | Row 115
✅ Saved → SBQ | dariabandha | Row 116
✅ Saved → SBQ | dariabandha | Row 117
✅ Saved → SBQ | dariabandha | Row 118
✅ Saved → SBQ | dariabandha | Row 119
✅ Saved → SBQ | dariabandha | Row 120
✅ Saved → SBQ | dariabandha | Row 121
✅ Saved → SBQ | dariabandha | Row 122
✅ Saved → SBQ | dariabandha | Row 123
✅ Saved → SBQ | dariabandha | Row 124
✅ Saved → SBQ | golla chut | Row 0
✅ Saved → SBQ | golla chut | Row 1
✅ Saved → SBQ | golla chut | Row 2
✅ Saved → SBQ | golla chut | Row 3
✅ Saved → SBQ | golla chut | Row 4
✅ Saved → SBQ | golla chut | Row 5
✅ Saved → SBQ | golla chut | Row 6
✅ Saved → SBQ | golla chut | Row 7
✅ Saved → SBQ | golla chut | Row 8
✅ Saved → SBQ | golla chut | Row 9
✅ Saved → SBQ | golla chut | Row 10
✅ Saved → SBQ | golla chut | Row 11
✅ Saved → SBQ | golla chut | Row 12
✅ Saved → SBQ | golla chut | Row 13
✅ Saved → SBQ | golla chut | Row 14
✅ Saved → SBQ | golla chut | Row 15
✅ Saved → SBQ | golla chut | Row 16
✅ Saved → SBQ | golla chut | Row 17
✅ Saved → SBQ | golla chut | Row 18
✅ Saved → SBQ | golla chut | Row 19
✅ Saved → SBQ | golla chut | Row 20
✅ Saved → SBQ | golla chut | Row 21
✅ Saved → SBQ | golla chut | Row 22
✅ Saved → SBQ | golla chut | Row 23
✅ Saved → SBQ | golla chut | Row 24
✅ Saved → SBQ | golla chut | Row 25
✅ Saved → SBQ | golla chut | Row 26
✅ Saved → SBQ | golla chut | Row 27
✅ Saved → SBQ | golla chut | Row 28
✅ Saved → SBQ | golla chut | Row 29
✅ Saved → SBQ | golla chut | Row 30
✅ Saved → SBQ | golla chut | Row 31
✅ Saved → SBQ | golla chut | Row 32
✅ Saved → SBQ | golla chut | Row 33
✅ Saved → SBQ | golla chut | Row 34
✅ Saved → SBQ | golla chut | Row 35
✅ Saved → SBQ | golla chut | Row 36
✅ Saved → SBQ | golla chut | Row 37
✅ Saved → SBQ | golla chut | Row 38
✅ Saved → SBQ | golla chut | Row 39
✅ Saved → SBQ | golla chut | Row 40
✅ Saved → SBQ | golla chut | Row 41
✅ Saved → SBQ | golla chut | Row 42
✅ Saved → SBQ | golla chut | Row 43
✅ Saved → SBQ | golla chut | Row 45
✅ Saved → SBQ | golla chut | Row 46
✅ Saved → SBQ | golla chut | Row 47
✅ Saved → SBQ | golla chut | Row 48
✅ Saved → SBQ | golla chut | Row 49
✅ Saved → SBQ | golla chut | Row 50
✅ Saved → SBQ | golla chut | Row 51
✅ Saved → SBQ | golla chut | Row 52
✅ Saved → SBQ | golla chut | Row 53
✅ Saved → SBQ | golla chut | Row 54
✅ Saved → SBQ | golla chut | Row 55
✅ Saved → SBQ | golla chut | Row 56
✅ Saved → SBQ | golla chut | Row 57
✅ Saved → SBQ | golla chut | Row 58
✅ Saved → SBQ | golla chut | Row 59
✅ Saved → SBQ | golla chut | Row 60
✅ Saved → SBQ | golla chut | Row 61
✅ Saved → SBQ | golla chut | Row 62
✅ Saved → SBQ | golla chut | Row 63
✅ Saved → SBQ | golla chut | Row 64
✅ Saved → SBQ | golla chut | Row 65
✅ Saved → SBQ | golla chut | Row 66
✅ Saved → SBQ | golla chut | Row 67
✅ Saved → SBQ | golla chut | Row 68
✅ Saved → SBQ | golla chut | Row 69
✅ Saved → SBQ | golla chut | Row 70
✅ Saved → SBQ | golla chut | Row 71
✅ Saved → SBQ | golla chut | Row 72
✅ Saved → SBQ | golla chut | Row 73
✅ Saved → SBQ | golla chut | Row 74
✅ Saved → SBQ | golla chut | Row 75
✅ Saved → SBQ | golla chut | Row 76
✅ Saved → SBQ | golla chut | Row 77
✅ Saved → SBQ | golla chut | Row 78
✅ Saved → SBQ | golla chut | Row 79
✅ Saved → SBQ | golla chut | Row 80
✅ Saved → SBQ | golla chut | Row 81
✅ Saved → SBQ | golla chut | Row 82
✅ Saved → SBQ | golla chut | Row 83
✅ Saved → SBQ | golla chut | Row 84
✅ Saved → SBQ | golla chut | Row 85
✅ Saved → SBQ | golla chut | Row 86
✅ Saved → SBQ | golla chut | Row 87
✅ Saved → SBQ | golla chut | Row 88
✅ Saved → SBQ | golla chut | Row 89
✅ Saved → SBQ | golla chut | Row 90
✅ Saved → SBQ | golla chut | Row 91
✅ Saved → SBQ | golla chut | Row 92
✅ Saved → SBQ | golla chut | Row 93
✅ Saved → SBQ | golla chut | Row 94
✅ Saved → SBQ | golla chut | Row 95
✅ Saved → SBQ | golla chut | Row 96
✅ Saved → SBQ | golla chut | Row 97
