Started at: 21:01:42
['/DATA/rohan_kirti/country/ethopia/RBQ/Ethopia_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/ethopia/RBQ/Ethopia_RBQ.xlsx
✅ Saved → RBQ | Genna | Row 149
✅ Saved → RBQ | Yeferas Guks | Row 0
✅ Saved → RBQ | Yeferas Guks | Row 1
✅ Saved → RBQ | Yeferas Guks | Row 2
✅ Saved → RBQ | Yeferas Guks | Row 3
✅ Saved → RBQ | Yeferas Guks | Row 4
✅ Saved → RBQ | Yeferas Guks | Row 5
✅ Saved → RBQ | Yeferas Guks | Row 6
✅ Saved → RBQ | Yeferas Guks | Row 7
✅ Saved → RBQ | Yeferas Guks | Row 8
✅ Saved → RBQ | Yeferas Guks | Row 9
✅ Saved → RBQ | Yeferas Guks | Row 10
✅ Saved → RBQ | Yeferas Guks | Row 11
✅ Saved → RBQ | Yeferas Guks | Row 12
✅ Saved → RBQ | Yeferas Guks | Row 13
✅ Saved → RBQ | Yeferas Guks | Row 14
✅ Saved → RBQ | Yeferas Guks | Row 15
✅ Saved → RBQ | Yeferas Guks | Row 16
✅ Saved → RBQ | Yeferas Guks | Row 17
✅ Saved → RBQ | Yeferas Guks | Row 18
✅ Saved → RBQ | Yeferas Guks | Row 19
✅ Saved → RBQ | Yeferas Guks | Row 20
✅ Saved → RBQ | Yeferas Guks | Row 21
✅ Saved → RBQ | Yeferas Guks | Row 22
✅ Saved → RBQ | Yeferas Guks | Row 23
✅ Saved → RBQ | Yeferas Guks | Row 24
✅ Saved → RBQ | Yeferas Guks | Row 25
✅ Saved → RBQ | Yeferas Guks | Row 26
✅ Saved → RBQ | Yeferas Guks | Row 27
✅ Saved → RBQ | Yeferas Guks | Row 28
✅ Saved → RBQ | Yeferas Guks | Row 29
✅ Saved → RBQ | Yeferas Guks | Row 30
✅ Saved → RBQ | Yeferas Guks | Row 31
✅ Saved → RBQ | Yeferas Guks | Row 32
✅ Saved → RBQ | Yeferas Guks | Row 33
✅ Saved → RBQ | Yeferas Guks | Row 34
✅ Saved → RBQ | Yeferas Guks | Row 35
✅ Saved → RBQ | Yeferas Guks | Row 36
✅ Saved → RBQ | Yeferas Guks | Row 37
✅ Saved → RBQ | Yeferas Guks | Row 38
✅ Saved → RBQ | Yeferas Guks | Row 39
✅ Saved → RBQ | Yeferas Guks | Row 40
✅ Saved → RBQ | Yeferas Guks | Row 41
✅ Saved → RBQ | Yeferas Guks | Row 42
✅ Saved → RBQ | Yeferas Guks | Row 43
✅ Saved → RBQ | Yeferas Guks | Row 44
✅ Saved → RBQ | Yeferas Guks | Row 45
✅ Saved → RBQ | Yeferas Guks | Row 46
✅ Saved → RBQ | Yeferas Guks | Row 47
✅ Saved → RBQ | Yeferas Guks | Row 48
✅ Saved → RBQ | Yeferas Guks | Row 49
✅ Saved → RBQ | Yeferas Guks | Row 50
✅ Saved → RBQ | Yeferas Guks | Row 51
✅ Saved → RBQ | Yeferas Guks | Row 52
✅ Saved → RBQ | Yeferas Guks | Row 53
✅ Saved → RBQ | Yeferas Guks | Row 54
✅ Saved → RBQ | Yeferas Guks | Row 55
✅ Saved → RBQ | Yeferas Guks | Row 56
✅ Saved → RBQ | Yeferas Guks | Row 57
✅ Saved → RBQ | Yeferas Guks | Row 58
✅ Saved → RBQ | Yeferas Guks | Row 59
✅ Saved → RBQ | Yeferas Guks | Row 60
✅ Saved → RBQ | Yeferas Guks | Row 61
✅ Saved → RBQ | Yeferas Guks | Row 62
✅ Saved → RBQ | Yeferas Guks | Row 63
✅ Saved → RBQ | Yeferas Guks | Row 64
✅ Saved → RBQ | Yeferas Guks | Row 65
✅ Saved → RBQ | Yeferas Guks | Row 66
✅ Saved → RBQ | Yeferas Guks | Row 67
✅ Saved → RBQ | Yeferas Guks | Row 68
✅ Saved → RBQ | Yeferas Guks | Row 69
✅ Saved → RBQ | Yeferas Guks | Row 70
✅ Saved → RBQ | Yeferas Guks | Row 71
✅ Saved → RBQ | Yeferas Guks | Row 72
✅ Saved → RBQ | Yeferas Guks | Row 73
✅ Saved → RBQ | Yeferas Guks | Row 74
✅ Saved → RBQ | Yeferas Guks | Row 75
✅ Saved → RBQ | Yeferas Guks | Row 76
✅ Saved → RBQ | Yeferas Guks | Row 77
✅ Saved → RBQ | Yeferas Guks | Row 78
✅ Saved → RBQ | Yeferas Guks | Row 79
✅ Saved → RBQ | Yeferas Guks | Row 80
✅ Saved → RBQ | Yeferas Guks | Row 81
✅ Saved → RBQ | Yeferas Guks | Row 82
✅ Saved → RBQ | Yeferas Guks | Row 83
✅ Saved → RBQ | Yeferas Guks | Row 85
✅ Saved → RBQ | Yeferas Guks | Row 86
✅ Saved → RBQ | Yeferas Guks | Row 87
✅ Saved → RBQ | Yeferas Guks | Row 88
✅ Saved → RBQ | Yeferas Guks | Row 89
✅ Saved → RBQ | Yeferas Guks | Row 90
✅ Saved → RBQ | Yeferas Guks | Row 91
✅ Saved → RBQ | Yeferas Guks | Row 92
✅ Saved → RBQ | Yeferas Guks | Row 93
✅ Saved → RBQ | Yeferas Guks | Row 94
✅ Saved → RBQ | Yeferas Guks | Row 95
✅ Saved → RBQ | Yeferas Guks | Row 96
✅ Saved → RBQ | Yeferas Guks | Row 97
✅ Saved → RBQ | Yeferas Guks | Row 98
✅ Saved → RBQ | Yeferas Guks | Row 99
✅ Saved → RBQ | Yeferas Guks | Row 100
✅ Saved → RBQ | Yeferas Guks | Row 101
✅ Saved → RBQ | Yeferas Guks | Row 102
✅ Saved → RBQ | Yeferas Guks | Row 103
✅ Saved → RBQ | Yeferas Guks | Row 104
✅ Saved → RBQ | Yeferas Guks | Row 105
✅ Saved → RBQ | Yeferas Guks | Row 106
✅ Saved → RBQ | Yeferas Guks | Row 107
✅ Saved → RBQ | Yeferas Guks | Row 108
✅ Saved → RBQ | Yeferas Guks | Row 109
✅ Saved → RBQ | Yeferas Guks | Row 110
✅ Saved → RBQ | Yeferas Guks | Row 111
✅ Saved → RBQ | Yeferas Guks | Row 112
✅ Saved → RBQ | Yeferas Guks | Row 113
✅ Saved → RBQ | Yeferas Guks | Row 114
✅ Saved → RBQ | Yeferas Guks | Row 115
✅ Saved → RBQ | Yeferas Guks | Row 116
✅ Saved → RBQ | Yeferas Guks | Row 117
