Started at: 20:59:32
['C:\\Users\\nilad\\Documents\\country-dataset\\italy\\IBQ\\IBQ_Italy.xlsx']

-> Processing: C:\Users\nilad\Documents\country-dataset\italy\IBQ\IBQ_Italy.xlsx
[SAVED] -> IBQ | calcio | Row 18
[SAVED] -> IBQ | calcio | Row 19
[SAVED] -> IBQ | calcio | Row 20
[SAVED] -> IBQ | calcio | Row 21
[SAVED] -> IBQ | calcio | Row 22
[SAVED] -> IBQ | calcio | Row 23
[SAVED] -> IBQ | calcio | Row 24
[SAVED] -> IBQ | calcio | Row 26
[SAVED] -> IBQ | calcio | Row 27
[SAVED] -> IBQ | calcio | Row 28
[SAVED] -> IBQ | calcio | Row 29
[SAVED] -> IBQ | calcio | Row 30
[SAVED] -> IBQ | calcio | Row 31
[SAVED] -> IBQ | calcio | Row 32
[SAVED] -> IBQ | calcio | Row 33
[SAVED] -> IBQ | calcio | Row 34
[SAVED] -> IBQ | calcio | Row 35
[SAVED] -> IBQ | calcio | Row 36
[SAVED] -> IBQ | calcio | Row 38
[SAVED] -> IBQ | calcio | Row 40
[SAVED] -> IBQ | calcio | Row 41
[SAVED] -> IBQ | calcio | Row 43
[SAVED] -> IBQ | calcio | Row 44
[SAVED] -> IBQ | calcio | Row 47
[SAVED] -> IBQ | calcio | Row 48
[SAVED] -> IBQ | calcio | Row 49
[SAVED] -> IBQ | calcio | Row 51
[SAVED] -> IBQ | calcio | Row 54
[SAVED] -> IBQ | calcio | Row 55
[SAVED] -> IBQ | calcio | Row 56
[SAVED] -> IBQ | calcio | Row 57
[SAVED] -> IBQ | calcio | Row 58
[SAVED] -> IBQ | calcio | Row 59
[SAVED] -> IBQ | Ruzzola | Row 0
[SAVED] -> IBQ | Ruzzola | Row 1
[SAVED] -> IBQ | Ruzzola | Row 2
[SAVED] -> IBQ | Ruzzola | Row 3
[SAVED] -> IBQ | Ruzzola | Row 4
[SAVED] -> IBQ | Ruzzola | Row 5
[SAVED] -> IBQ | Ruzzola | Row 6
[SAVED] -> IBQ | Ruzzola | Row 7
[SAVED] -> IBQ | Ruzzola | Row 8
[SAVED] -> IBQ | Ruzzola | Row 9
[SAVED] -> IBQ | Ruzzola | Row 10
[SAVED] -> IBQ | Ruzzola | Row 11
[SAVED] -> IBQ | Ruzzola | Row 12
[SAVED] -> IBQ | Ruzzola | Row 13
[SAVED] -> IBQ | Ruzzola | Row 14
[SAVED] -> IBQ | Ruzzola | Row 21
[SAVED] -> IBQ | Ruzzola | Row 22
[SAVED] -> IBQ | Ruzzola | Row 23
[SAVED] -> IBQ | Ruzzola | Row 24
[SAVED] -> IBQ | Ruzzola | Row 25
[SAVED] -> IBQ | Ruzzola | Row 26
[SAVED] -> IBQ | Ruzzola | Row 27
[SAVED] -> IBQ | Ruzzola | Row 28
[SAVED] -> IBQ | Ruzzola | Row 30
[SAVED] -> IBQ | Ruzzola | Row 31
[SAVED] -> IBQ | Ruzzola | Row 32
[SAVED] -> IBQ | Ruzzola | Row 33
[SAVED] -> IBQ | Ruzzola | Row 34
[SAVED] -> IBQ | Ruzzola | Row 36
[SAVED] -> IBQ | Ruzzola | Row 37
[SAVED] -> IBQ | Ruzzola | Row 38
[SAVED] -> IBQ | Ruzzola | Row 39
[SAVED] -> IBQ | Ruzzola | Row 41
[SAVED] -> IBQ | Ruzzola | Row 42
[SAVED] -> IBQ | Ruzzola | Row 43
[SAVED] -> IBQ | Ruzzola | Row 44
[SAVED] -> IBQ | Ruzzola | Row 46
[SAVED] -> IBQ | Ruzzola | Row 47
[SAVED] -> IBQ | Ruzzola | Row 48
[SAVED] -> IBQ | Ruzzola | Row 49
Warning: Image 'img1' not found in C:\Users\nilad\Documents\country-dataset\italy\IBQ\images_italy\Pallanuto for row 0
[SAVED] -> IBQ | Pallanuto | Row 0
Warning: Image 'img1' not found in C:\Users\nilad\Documents\country-dataset\italy\IBQ\images_italy\Pallanuto for row 1
[SAVED] -> IBQ | Pallanuto | Row 1
Warning: Image 'img1' not found in C:\Users\nilad\Documents\country-dataset\italy\IBQ\images_italy\Pallanuto for row 2
[SAVED] -> IBQ | Pallanuto | Row 2
Warning: Image 'img1' not found in C:\Users\nilad\Documents\country-dataset\italy\IBQ\images_italy\Pallanuto for row 3
[SAVED] -> IBQ | Pallanuto | Row 3
Warning: Image 'img1' not found in C:\Users\nilad\Documents\country-dataset\italy\IBQ\images_italy\Pallanuto for row 4
[SAVED] -> IBQ | Pallanuto | Row 4
[SAVED] -> IBQ | Pallanuto | Row 5
[SAVED] -> IBQ | Pallanuto | Row 6
[SAVED] -> IBQ | Pallanuto | Row 7
[SAVED] -> IBQ | Pallanuto | Row 8
[SAVED] -> IBQ | Pallanuto | Row 9
Warning: Image 'img3' not found in C:\Users\nilad\Documents\country-dataset\italy\IBQ\images_italy\Pallanuto for row 10
[SAVED] -> IBQ | Pallanuto | Row 10
Warning: Image 'img3' not found in C:\Users\nilad\Documents\country-dataset\italy\IBQ\images_italy\Pallanuto for row 11
[SAVED] -> IBQ | Pallanuto | Row 11
Warning: Image 'img3' not found in C:\Users\nilad\Documents\country-dataset\italy\IBQ\images_italy\Pallanuto for row 12
[SAVED] -> IBQ | Pallanuto | Row 12
Warning: Image 'img3' not found in C:\Users\nilad\Documents\country-dataset\italy\IBQ\images_italy\Pallanuto for row 13
[SAVED] -> IBQ | Pallanuto | Row 13
Warning: Image 'img3' not found in C:\Users\nilad\Documents\country-dataset\italy\IBQ\images_italy\Pallanuto for row 14
[SAVED] -> IBQ | Pallanuto | Row 14
Warning: Image 'img4' not found in C:\Users\nilad\Documents\country-dataset\italy\IBQ\images_italy\Pallanuto for row 15
[SAVED] -> IBQ | Pallanuto | Row 15
Warning: Image 'img4' not found in C:\Users\nilad\Documents\country-dataset\italy\IBQ\images_italy\Pallanuto for row 16
[SAVED] -> IBQ | Pallanuto | Row 16
Warning: Image 'img4' not found in C:\Users\nilad\Documents\country-dataset\italy\IBQ\images_italy\Pallanuto for row 17
[SAVED] -> IBQ | Pallanuto | Row 17
Warning: Image 'img4' not found in C:\Users\nilad\Documents\country-dataset\italy\IBQ\images_italy\Pallanuto for row 18
[SAVED] -> IBQ | Pallanuto | Row 18
Warning: Image 'img4' not found in C:\Users\nilad\Documents\country-dataset\italy\IBQ\images_italy\Pallanuto for row 19
[SAVED] -> IBQ | Pallanuto | Row 19
[SAVED] -> IBQ | Pallanuto | Row 22
[SAVED] -> IBQ | Pallanuto | Row 23
[SAVED] -> IBQ | Pallanuto | Row 25
[SAVED] -> IBQ | Pallanuto | Row 26
[SAVED] -> IBQ | Pallanuto | Row 27
[SAVED] -> IBQ | Pallanuto | Row 28
[SAVED] -> IBQ | Pallanuto | Row 36
[SAVED] -> IBQ | Pallanuto | Row 37
[SAVED] -> IBQ | Pallanuto | Row 38
[SAVED] -> IBQ | Pallanuto | Row 39
[SAVED] -> IBQ | Pallavolo | Row 0
[SAVED] -> IBQ | Pallavolo | Row 1
[SAVED] -> IBQ | Pallavolo | Row 2
[SAVED] -> IBQ | Pallavolo | Row 3
[SAVED] -> IBQ | Pallavolo | Row 4
[SAVED] -> IBQ | Pallavolo | Row 5
[SAVED] -> IBQ | Pallavolo | Row 6
[SAVED] -> IBQ | Pallavolo | Row 7
[SAVED] -> IBQ | Pallavolo | Row 8
[SAVED] -> IBQ | Pallavolo | Row 9
[SAVED] -> IBQ | Pallavolo | Row 10
[SAVED] -> IBQ | Pallavolo | Row 11
[SAVED] -> IBQ | Pallavolo | Row 12
[SAVED] -> IBQ | Pallavolo | Row 13
[SAVED] -> IBQ | Pallavolo | Row 14
[SAVED] -> IBQ | Pallavolo | Row 15
[SAVED] -> IBQ | Pallavolo | Row 16
[SAVED] -> IBQ | Pallavolo | Row 17
[SAVED] -> IBQ | Pallavolo | Row 18
[SAVED] -> IBQ | Pallavolo | Row 19
[SAVED] -> IBQ | Pallavolo | Row 20
[SAVED] -> IBQ | Pallavolo | Row 21
[SAVED] -> IBQ | Pallavolo | Row 22
[SAVED] -> IBQ | Pallavolo | Row 23
[SAVED] -> IBQ | Pallavolo | Row 24
[SAVED] -> IBQ | Pallavolo | Row 25
[SAVED] -> IBQ | Pallavolo | Row 26
[SAVED] -> IBQ | Pallavolo | Row 27
[SAVED] -> IBQ | Pallavolo | Row 28
[SAVED] -> IBQ | Pallavolo | Row 29
[SAVED] -> IBQ | Pallavolo | Row 30
[SAVED] -> IBQ | Pallavolo | Row 31
[SAVED] -> IBQ | Pallavolo | Row 32
[SAVED] -> IBQ | Pallavolo | Row 33
[SAVED] -> IBQ | Pallavolo | Row 34
[SAVED] -> IBQ | Pallavolo | Row 40
[SAVED] -> IBQ | Pallavolo | Row 42
[SAVED] -> IBQ | Pallavolo | Row 43
[SAVED] -> IBQ | Pallavolo | Row 44
[SAVED] -> IBQ | Pallavolo | Row 45
[SAVED] -> IBQ | Pallavolo | Row 46
[SAVED] -> IBQ | Pallavolo | Row 47
[SAVED] -> IBQ | Pallavolo | Row 48
[SAVED] -> IBQ | Pallavolo | Row 49
[SAVED] -> IBQ | Pallavolo | Row 50
[SAVED] -> IBQ | Pallavolo | Row 51
[SAVED] -> IBQ | Pallavolo | Row 52
[SAVED] -> IBQ | Pallavolo | Row 53
[SAVED] -> IBQ | Pallavolo | Row 54
[SAVED] -> IBQ | Pallavolo | Row 55
[SAVED] -> IBQ | Pallavolo | Row 56
[SAVED] -> IBQ | Pallavolo | Row 57
[SAVED] -> IBQ | Pallavolo | Row 58
[SAVED] -> IBQ | Pallavolo | Row 59
[SAVED] -> IBQ | Skiing | Row 0
[SAVED] -> IBQ | Skiing | Row 1
[SAVED] -> IBQ | Skiing | Row 2
[SAVED] -> IBQ | Skiing | Row 3
[SAVED] -> IBQ | Skiing | Row 4
[SAVED] -> IBQ | Skiing | Row 5
[SAVED] -> IBQ | Skiing | Row 6
[SAVED] -> IBQ | Skiing | Row 7
[SAVED] -> IBQ | Skiing | Row 8
[SAVED] -> IBQ | Skiing | Row 9
[SAVED] -> IBQ | Skiing | Row 10
[SAVED] -> IBQ | Skiing | Row 11
[SAVED] -> IBQ | Skiing | Row 12
[SAVED] -> IBQ | Skiing | Row 13
[SAVED] -> IBQ | Skiing | Row 14
[SAVED] -> IBQ | Skiing | Row 20
[SAVED] -> IBQ | Skiing | Row 21
[SAVED] -> IBQ | Skiing | Row 22
[SAVED] -> IBQ | Skiing | Row 23
[SAVED] -> IBQ | Skiing | Row 24
[SAVED] -> IBQ | Skiing | Row 30
[SAVED] -> IBQ | Skiing | Row 31
[SAVED] -> IBQ | Skiing | Row 32
[SAVED] -> IBQ | Skiing | Row 33
[SAVED] -> IBQ | Skiing | Row 34
[SAVED] -> IBQ | Skiing | Row 40
[SAVED] -> IBQ | Skiing | Row 42
[SAVED] -> IBQ | Skiing | Row 43
[SAVED] -> IBQ | Skiing | Row 44
[SAVED] -> IBQ | Skiing | Row 45
[SAVED] -> IBQ | Skiing | Row 46
[SAVED] -> IBQ | Skiing | Row 47
[SAVED] -> IBQ | Skiing | Row 48
[SAVED] -> IBQ | Skiing | Row 49
[SAVED] -> IBQ | Skiing | Row 50
[SAVED] -> IBQ | Morra | Row 0
[SAVED] -> IBQ | Morra | Row 1
[SAVED] -> IBQ | Morra | Row 2
[SAVED] -> IBQ | Morra | Row 3
[SAVED] -> IBQ | Morra | Row 4
[SAVED] -> IBQ | Morra | Row 5
[SAVED] -> IBQ | Morra | Row 6
[SAVED] -> IBQ | Morra | Row 7
[SAVED] -> IBQ | Morra | Row 8
[SAVED] -> IBQ | Morra | Row 9
[SAVED] -> IBQ | Morra | Row 10
[SAVED] -> IBQ | Morra | Row 11
[SAVED] -> IBQ | Morra | Row 12
[SAVED] -> IBQ | Morra | Row 13
[SAVED] -> IBQ | Morra | Row 14
[SAVED] -> IBQ | Morra | Row 15
[SAVED] -> IBQ | Morra | Row 16
[SAVED] -> IBQ | Morra | Row 17
[SAVED] -> IBQ | Morra | Row 18
[SAVED] -> IBQ | Morra | Row 19
[SAVED] -> IBQ | Morra | Row 20
[SAVED] -> IBQ | Morra | Row 21
[SAVED] -> IBQ | Morra | Row 22
[SAVED] -> IBQ | Morra | Row 23
[SAVED] -> IBQ | Morra | Row 24
