Started at: 09:23:12

📌 Processing: /DATA/rohan_kirti/country/germany/HBQ/HBQ_Germany.xlsx
✅ Saved → HBQ | Bosseln | Row 70
✅ Saved → HBQ | Bosseln | Row 71
✅ Saved → HBQ | Bosseln | Row 72
✅ Saved → HBQ | Bosseln | Row 73
✅ Saved → HBQ | Bosseln | Row 74
✅ Saved → HBQ | Bosseln | Row 75
✅ Saved → HBQ | Bosseln | Row 76
✅ Saved → HBQ | Bosseln | Row 77
✅ Saved → HBQ | Bosseln | Row 78
✅ Saved → HBQ | Bosseln | Row 79
✅ Saved → HBQ | Bosseln | Row 80
✅ Saved → HBQ | Bosseln | Row 81
✅ Saved → HBQ | Bosseln | Row 82
✅ Saved → HBQ | Bosseln | Row 83
✅ Saved → HBQ | Bosseln | Row 84
✅ Saved → HBQ | Bosseln | Row 85
✅ Saved → HBQ | Bosseln | Row 86
✅ Saved → HBQ | Bosseln | Row 87
✅ Saved → HBQ | Bosseln | Row 88
✅ Saved → HBQ | Bosseln | Row 89
✅ Saved → HBQ | Bosseln | Row 90
✅ Saved → HBQ | Bosseln | Row 91
✅ Saved → HBQ | Bosseln | Row 92
✅ Saved → HBQ | Bosseln | Row 93
✅ Saved → HBQ | Bosseln | Row 94
✅ Saved → HBQ | Bosseln | Row 95
✅ Saved → HBQ | Bosseln | Row 96
✅ Saved → HBQ | Bosseln | Row 97
✅ Saved → HBQ | Bosseln | Row 98
✅ Saved → HBQ | Bosseln | Row 99
✅ Saved → HBQ | Bosseln | Row 100
✅ Saved → HBQ | Bosseln | Row 101
✅ Saved → HBQ | Bosseln | Row 102
✅ Saved → HBQ | Bosseln | Row 103
✅ Saved → HBQ | Bosseln | Row 104
✅ Saved → HBQ | Bosseln | Row 105
✅ Saved → HBQ | Bosseln | Row 106
✅ Saved → HBQ | Bosseln | Row 107
✅ Saved → HBQ | Bosseln | Row 108
✅ Saved → HBQ | Bosseln | Row 109
✅ Saved → HBQ | Bosseln | Row 110
✅ Saved → HBQ | Bosseln | Row 111
✅ Saved → HBQ | Bosseln | Row 112
✅ Saved → HBQ | Bosseln | Row 113
✅ Saved → HBQ | Bosseln | Row 114
✅ Saved → HBQ | Bosseln | Row 115
✅ Saved → HBQ | Bosseln | Row 116
