Started at: 20:36:44
SBQ

📌 Processing: /DATA/rohan_kirti/country/france/SBQ/France_SBQ.xlsx
Joutes
✅ Saved → SBQ | Tambourin | Row 19
✅ Saved → SBQ | Tambourin | Row 20
✅ Saved → SBQ | Tambourin | Row 21
✅ Saved → SBQ | Tambourin | Row 22
✅ Saved → SBQ | Tambourin | Row 23
✅ Saved → SBQ | Tambourin | Row 24
✅ Saved → SBQ | Tambourin | Row 25
✅ Saved → SBQ | Tambourin | Row 26
✅ Saved → SBQ | Tambourin | Row 27
✅ Saved → SBQ | Tambourin | Row 28
✅ Saved → SBQ | Tambourin | Row 29
✅ Saved → SBQ | Tambourin | Row 30
✅ Saved → SBQ | Tambourin | Row 31
✅ Saved → SBQ | Tambourin | Row 32
✅ Saved → SBQ | Tambourin | Row 33
✅ Saved → SBQ | Tambourin | Row 34
✅ Saved → SBQ | Tambourin | Row 35
✅ Saved → SBQ | Tambourin | Row 36
✅ Saved → SBQ | Tambourin | Row 37
✅ Saved → SBQ | Tambourin | Row 38
✅ Saved → SBQ | Tambourin | Row 39
✅ Saved → SBQ | Tambourin | Row 40
✅ Saved → SBQ | Tambourin | Row 41
✅ Saved → SBQ | Tambourin | Row 42
✅ Saved → SBQ | Tambourin | Row 43
✅ Saved → SBQ | Tambourin | Row 44
✅ Saved → SBQ | Tambourin | Row 45
✅ Saved → SBQ | Tambourin | Row 46
✅ Saved → SBQ | Tambourin | Row 50
✅ Saved → SBQ | Tambourin | Row 51
✅ Saved → SBQ | Tambourin | Row 52
✅ Saved → SBQ | Tambourin | Row 54
✅ Saved → SBQ | Tambourin | Row 56
✅ Saved → SBQ | Tambourin | Row 57
✅ Saved → SBQ | Tambourin | Row 58
✅ Saved → SBQ | Tambourin | Row 59
✅ Saved → SBQ | Tambourin | Row 60
✅ Saved → SBQ | Tambourin | Row 61
✅ Saved → SBQ | Tambourin | Row 62
✅ Saved → SBQ | Tambourin | Row 63
✅ Saved → SBQ | Tambourin | Row 65
✅ Saved → SBQ | Tambourin | Row 66
✅ Saved → SBQ | Tambourin | Row 67
✅ Saved → SBQ | Tambourin | Row 68
✅ Saved → SBQ | Tambourin | Row 70
✅ Saved → SBQ | Tambourin | Row 72
Pelota
✅ Saved → SBQ | Pelota | Row 0
✅ Saved → SBQ | Pelota | Row 1
✅ Saved → SBQ | Pelota | Row 2
✅ Saved → SBQ | Pelota | Row 3
✅ Saved → SBQ | Pelota | Row 4
✅ Saved → SBQ | Pelota | Row 5
✅ Saved → SBQ | Pelota | Row 6
✅ Saved → SBQ | Pelota | Row 7
✅ Saved → SBQ | Pelota | Row 8
✅ Saved → SBQ | Pelota | Row 9
✅ Saved → SBQ | Pelota | Row 10
✅ Saved → SBQ | Pelota | Row 11
✅ Saved → SBQ | Pelota | Row 12
✅ Saved → SBQ | Pelota | Row 13
✅ Saved → SBQ | Pelota | Row 14
✅ Saved → SBQ | Pelota | Row 15
✅ Saved → SBQ | Pelota | Row 16
✅ Saved → SBQ | Pelota | Row 17
✅ Saved → SBQ | Pelota | Row 18
✅ Saved → SBQ | Pelota | Row 19
✅ Saved → SBQ | Pelota | Row 20
✅ Saved → SBQ | Pelota | Row 21
✅ Saved → SBQ | Pelota | Row 22
✅ Saved → SBQ | Pelota | Row 23
✅ Saved → SBQ | Pelota | Row 24
✅ Saved → SBQ | Pelota | Row 25
✅ Saved → SBQ | Pelota | Row 26
✅ Saved → SBQ | Pelota | Row 27
✅ Saved → SBQ | Pelota | Row 28
✅ Saved → SBQ | Pelota | Row 29
✅ Saved → SBQ | Pelota | Row 30
✅ Saved → SBQ | Pelota | Row 31
✅ Saved → SBQ | Pelota | Row 32
✅ Saved → SBQ | Pelota | Row 33
✅ Saved → SBQ | Pelota | Row 34
✅ Saved → SBQ | Pelota | Row 35
✅ Saved → SBQ | Pelota | Row 36
✅ Saved → SBQ | Pelota | Row 37
✅ Saved → SBQ | Pelota | Row 38
✅ Saved → SBQ | Pelota | Row 39
✅ Saved → SBQ | Pelota | Row 40
✅ Saved → SBQ | Pelota | Row 41
✅ Saved → SBQ | Pelota | Row 42
✅ Saved → SBQ | Pelota | Row 43
✅ Saved → SBQ | Pelota | Row 44
✅ Saved → SBQ | Pelota | Row 45
✅ Saved → SBQ | Pelota | Row 46
✅ Saved → SBQ | Pelota | Row 48
✅ Saved → SBQ | Pelota | Row 49
✅ Saved → SBQ | Pelota | Row 50
✅ Saved → SBQ | Pelota | Row 54
✅ Saved → SBQ | Pelota | Row 55
✅ Saved → SBQ | Pelota | Row 56
✅ Saved → SBQ | Pelota | Row 57
✅ Saved → SBQ | Pelota | Row 58
✅ Saved → SBQ | Pelota | Row 60
✅ Saved → SBQ | Pelota | Row 61
✅ Saved → SBQ | Pelota | Row 62
✅ Saved → SBQ | Pelota | Row 63
✅ Saved → SBQ | Pelota | Row 64
✅ Saved → SBQ | Pelota | Row 65
✅ Saved → SBQ | Pelota | Row 66
✅ Saved → SBQ | Pelota | Row 67
✅ Saved → SBQ | Pelota | Row 68
✅ Saved → SBQ | Pelota | Row 69
