Started at: 09:18:10
['/DATA/rohan_kirti/country/germany/RBQ/Germany_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/germany/RBQ/Germany_RBQ.xlsx
✅ Saved → RBQ | Skat | Row 123
✅ Saved → RBQ | Skat | Row 124
✅ Saved → RBQ | Skat | Row 127
✅ Saved → RBQ | Skat | Row 129
✅ Saved → RBQ | Skat | Row 133
✅ Saved → RBQ | Skat | Row 137
✅ Saved → RBQ | Skat | Row 140
✅ Saved → RBQ | Skat | Row 141
✅ Saved → RBQ | Skat | Row 142
✅ Saved → RBQ | Skat | Row 143
✅ Saved → RBQ | Skat | Row 144
✅ Saved → RBQ | Skat | Row 145
✅ Saved → RBQ | Skat | Row 150
✅ Saved → RBQ | Skat | Row 151
✅ Saved → RBQ | Skat | Row 152
✅ Saved → RBQ | Skat | Row 153
✅ Saved → RBQ | Skat | Row 154
✅ Saved → RBQ | Skat | Row 155
✅ Saved → RBQ | Skat | Row 156
✅ Saved → RBQ | Skat | Row 157
✅ Saved → RBQ | Skat | Row 158
✅ Saved → RBQ | Skat | Row 159
✅ Saved → RBQ | Skat | Row 160
✅ Saved → RBQ | Skat | Row 161
✅ Saved → RBQ | Skat | Row 162
✅ Saved → RBQ | Skat | Row 163
✅ Saved → RBQ | Skat | Row 164
✅ Saved → RBQ | Skat | Row 165
✅ Saved → RBQ | Skat | Row 166
✅ Saved → RBQ | Skat | Row 167
✅ Saved → RBQ | Skat | Row 168
✅ Saved → RBQ | Skat | Row 169
✅ Saved → RBQ | Skat | Row 170
✅ Saved → RBQ | Skat | Row 171
✅ Saved → RBQ | Skat | Row 172
✅ Saved → RBQ | Skat | Row 173
✅ Saved → RBQ | Skat | Row 174
✅ Saved → RBQ | Bosseln | Row 0
✅ Saved → RBQ | Bosseln | Row 1
✅ Saved → RBQ | Bosseln | Row 2
✅ Saved → RBQ | Bosseln | Row 3
✅ Saved → RBQ | Bosseln | Row 4
✅ Saved → RBQ | Bosseln | Row 5
✅ Saved → RBQ | Bosseln | Row 6
✅ Saved → RBQ | Bosseln | Row 7
✅ Saved → RBQ | Bosseln | Row 8
✅ Saved → RBQ | Bosseln | Row 9
✅ Saved → RBQ | Bosseln | Row 10
✅ Saved → RBQ | Bosseln | Row 11
✅ Saved → RBQ | Bosseln | Row 12
✅ Saved → RBQ | Bosseln | Row 13
✅ Saved → RBQ | Bosseln | Row 14
✅ Saved → RBQ | Bosseln | Row 15
✅ Saved → RBQ | Bosseln | Row 16
✅ Saved → RBQ | Bosseln | Row 17
✅ Saved → RBQ | Bosseln | Row 18
✅ Saved → RBQ | Bosseln | Row 19
✅ Saved → RBQ | Bosseln | Row 20
✅ Saved → RBQ | Bosseln | Row 21
✅ Saved → RBQ | Bosseln | Row 22
✅ Saved → RBQ | Bosseln | Row 23
✅ Saved → RBQ | Bosseln | Row 24
✅ Saved → RBQ | Bosseln | Row 25
✅ Saved → RBQ | Bosseln | Row 26
✅ Saved → RBQ | Bosseln | Row 27
✅ Saved → RBQ | Bosseln | Row 28
✅ Saved → RBQ | Bosseln | Row 29
✅ Saved → RBQ | Bosseln | Row 30
✅ Saved → RBQ | Bosseln | Row 31
✅ Saved → RBQ | Bosseln | Row 32
✅ Saved → RBQ | Bosseln | Row 33
✅ Saved → RBQ | Bosseln | Row 34
✅ Saved → RBQ | Bosseln | Row 35
✅ Saved → RBQ | Bosseln | Row 36
✅ Saved → RBQ | Bosseln | Row 37
✅ Saved → RBQ | Bosseln | Row 38
✅ Saved → RBQ | Bosseln | Row 39
✅ Saved → RBQ | Bosseln | Row 40
✅ Saved → RBQ | Bosseln | Row 41
✅ Saved → RBQ | Bosseln | Row 42
✅ Saved → RBQ | Bosseln | Row 43
✅ Saved → RBQ | Bosseln | Row 44
✅ Saved → RBQ | Bosseln | Row 45
✅ Saved → RBQ | Bosseln | Row 46
✅ Saved → RBQ | Bosseln | Row 47
✅ Saved → RBQ | Bosseln | Row 48
✅ Saved → RBQ | Bosseln | Row 49
✅ Saved → RBQ | Bosseln | Row 50
✅ Saved → RBQ | Bosseln | Row 51
✅ Saved → RBQ | Bosseln | Row 52
✅ Saved → RBQ | Bosseln | Row 53
✅ Saved → RBQ | Bosseln | Row 54
✅ Saved → RBQ | Bosseln | Row 55
✅ Saved → RBQ | Bosseln | Row 56
✅ Saved → RBQ | Bosseln | Row 57
✅ Saved → RBQ | Bosseln | Row 58
✅ Saved → RBQ | Bosseln | Row 59
✅ Saved → RBQ | Bosseln | Row 60
✅ Saved → RBQ | Bosseln | Row 61
✅ Saved → RBQ | Bosseln | Row 62
✅ Saved → RBQ | Bosseln | Row 63
✅ Saved → RBQ | Bosseln | Row 64
✅ Saved → RBQ | Bosseln | Row 65
✅ Saved → RBQ | Bosseln | Row 66
✅ Saved → RBQ | Bosseln | Row 67
✅ Saved → RBQ | Bosseln | Row 68
✅ Saved → RBQ | Bosseln | Row 69
✅ Saved → RBQ | Bosseln | Row 70
✅ Saved → RBQ | Bosseln | Row 71
✅ Saved → RBQ | Bosseln | Row 72
✅ Saved → RBQ | Bosseln | Row 73
✅ Saved → RBQ | Bosseln | Row 74
✅ Saved → RBQ | Bosseln | Row 75
✅ Saved → RBQ | Bosseln | Row 76
✅ Saved → RBQ | Bosseln | Row 77
✅ Saved → RBQ | Bosseln | Row 79
✅ Saved → RBQ | Bosseln | Row 80
✅ Saved → RBQ | Bosseln | Row 81
✅ Saved → RBQ | Bosseln | Row 82
✅ Saved → RBQ | Bosseln | Row 83
✅ Saved → RBQ | Bosseln | Row 84
✅ Saved → RBQ | Bosseln | Row 85
