Started at: 17:04:11
['C:\\Users\\nilad\\Documents\\country-dataset\\pakistan\\IBQ\\Pakistan_IBQ.xlsx']

-> Processing: C:\Users\nilad\Documents\country-dataset\pakistan\IBQ\Pakistan_IBQ.xlsx
[SAVED] -> IBQ | Gatka | Row 25
[SAVED] -> IBQ | Gatka | Row 28
[SAVED] -> IBQ | Gatka | Row 30
[SAVED] -> IBQ | Gatka | Row 38
[SAVED] -> IBQ | Gatka | Row 40
[SAVED] -> IBQ | Gatka | Row 42
[SAVED] -> IBQ | Gatka | Row 50
[SAVED] -> IBQ | Gatka | Row 60
[SAVED] -> IBQ | Gatka | Row 70
[SAVED] -> IBQ | Gatka | Row 80
[SAVED] -> IBQ | Gatka | Row 90
[SAVED] -> IBQ | Gatka | Row 91
[SAVED] -> IBQ | Gatka | Row 92
[SAVED] -> IBQ | Gatka | Row 94
[SAVED] -> IBQ | Gatka | Row 95
[SAVED] -> IBQ | Gatka | Row 98
[SAVED] -> IBQ | Gatka | Row 100
[SAVED] -> IBQ | Gatka | Row 101
[SAVED] -> IBQ | Gatka | Row 110
[SAVED] -> IBQ | Gatka | Row 120
[SAVED] -> IBQ | Gatka | Row 130
[SAVED] -> IBQ | Gatka | Row 138
[SAVED] -> IBQ | Gatka | Row 140
[SAVED] -> IBQ | Gatka | Row 150
[SAVED] -> IBQ | Gatka | Row 151
[SAVED] -> IBQ | Gatka | Row 152
[SAVED] -> IBQ | Gatka | Row 154
[SAVED] -> IBQ | Gatka | Row 155
[SAVED] -> IBQ | Gatka | Row 158
[SAVED] -> IBQ | Gatka | Row 160
[SAVED] -> IBQ | Gatka | Row 170
[SAVED] -> IBQ | Gatka | Row 180
[SAVED] -> IBQ | Gatka | Row 190
[SAVED] -> IBQ | Gatka | Row 200
[SAVED] -> IBQ | Gatka | Row 210
[SAVED] -> IBQ | Gatka | Row 211
[SAVED] -> IBQ | Gatka | Row 212
[SAVED] -> IBQ | Gatka | Row 214
[SAVED] -> IBQ | Gatka | Row 215
[SAVED] -> IBQ | Gatka | Row 220
[SAVED] -> IBQ | Gatka | Row 230
[SAVED] -> IBQ | Gilli Danda | Row 0
[SAVED] -> IBQ | Gilli Danda | Row 1
[SAVED] -> IBQ | Gilli Danda | Row 2
[SAVED] -> IBQ | Gilli Danda | Row 3
[SAVED] -> IBQ | Gilli Danda | Row 4
[SAVED] -> IBQ | Gilli Danda | Row 5
[SAVED] -> IBQ | Gilli Danda | Row 6
[SAVED] -> IBQ | Gilli Danda | Row 7
[SAVED] -> IBQ | Gilli Danda | Row 8
[SAVED] -> IBQ | Gilli Danda | Row 9
[SAVED] -> IBQ | Gilli Danda | Row 10
[SAVED] -> IBQ | Gilli Danda | Row 20
[SAVED] -> IBQ | Gilli Danda | Row 22
[SAVED] -> IBQ | Gilli Danda | Row 24
[SAVED] -> IBQ | Gilli Danda | Row 30
[SAVED] -> IBQ | Gilli Danda | Row 32
[SAVED] -> IBQ | Gilli Danda | Row 40
[SAVED] -> IBQ | Gilli Danda | Row 50
[SAVED] -> IBQ | Gilli Danda | Row 60
[SAVED] -> IBQ | Gilli Danda | Row 70
[SAVED] -> IBQ | Gilli Danda | Row 80
[SAVED] -> IBQ | Gilli Danda | Row 90
[SAVED] -> IBQ | Gilli Danda | Row 100
[SAVED] -> IBQ | Gilli Danda | Row 102
[SAVED] -> IBQ | Gilli Danda | Row 110
[SAVED] -> IBQ | Gilli Danda | Row 120
[SAVED] -> IBQ | Gilli Danda | Row 130
[SAVED] -> IBQ | Gilli Danda | Row 140
[SAVED] -> IBQ | Gilli Danda | Row 141
[SAVED] -> IBQ | Gilli Danda | Row 142
[SAVED] -> IBQ | Gilli Danda | Row 143
[SAVED] -> IBQ | Gilli Danda | Row 144
[SAVED] -> IBQ | Gilli Danda | Row 147
[SAVED] -> IBQ | Gilli Danda | Row 148
[SAVED] -> IBQ | Gilli Danda | Row 149
[SAVED] -> IBQ | Gilli Danda | Row 150
[SAVED] -> IBQ | Gilli Danda | Row 152
[SAVED] -> IBQ | Gilli Danda | Row 160
[SAVED] -> IBQ | Gilli Danda | Row 170
[SAVED] -> IBQ | Gilli Danda | Row 180
[SAVED] -> IBQ | Gilli Danda | Row 190
[SAVED] -> IBQ | Gilli Danda | Row 200
[SAVED] -> IBQ | Gilli Danda | Row 210
[SAVED] -> IBQ | Gilli Danda | Row 220
[SAVED] -> IBQ | Gilli Danda | Row 222
[SAVED] -> IBQ | Gilli Danda | Row 230
[SAVED] -> IBQ | Gilli Danda | Row 240
[SAVED] -> IBQ | Gilli Danda | Row 250
[SAVED] -> IBQ | Gilli Danda | Row 251
[SAVED] -> IBQ | Gilli Danda | Row 252
[SAVED] -> IBQ | Gilli Danda | Row 253
[SAVED] -> IBQ | Gilli Danda | Row 254
[SAVED] -> IBQ | Gilli Danda | Row 255
[SAVED] -> IBQ | Gilli Danda | Row 258
[SAVED] -> IBQ | Gilli Danda | Row 259
[SAVED] -> IBQ | Gilli Danda | Row 260
[SAVED] -> IBQ | Gilli Danda | Row 261
[SAVED] -> IBQ | Gilli Danda | Row 262
[SAVED] -> IBQ | Gilli Danda | Row 263
[SAVED] -> IBQ | Gilli Danda | Row 264
[SAVED] -> IBQ | Gilli Danda | Row 265
[SAVED] -> IBQ | Gilli Danda | Row 266
[SAVED] -> IBQ | Gilli Danda | Row 269
[SAVED] -> IBQ | Gilli Danda | Row 270
[SAVED] -> IBQ | Gilli Danda | Row 280
[SAVED] -> IBQ | Gilli Danda | Row 288
[SAVED] -> IBQ | Gilli Danda | Row 289
[SAVED] -> IBQ | Gilli Danda | Row 290
[SAVED] -> IBQ | Gilli Danda | Row 305
[SAVED] -> IBQ | Gilli Danda | Row 309
[SAVED] -> IBQ | Gilli Danda | Row 319
[SAVED] -> IBQ | Gilli Danda | Row 329
[SAVED] -> IBQ | Gilli Danda | Row 339
[SAVED] -> IBQ | Gilli Danda | Row 348
[SAVED] -> IBQ | Gilli Danda | Row 349
[SAVED] -> IBQ | Gilli Danda | Row 359
[SAVED] -> IBQ | Gilli Danda | Row 369
[SAVED] -> IBQ | Gilli Danda | Row 469
[SAVED] -> IBQ | Gilli Danda | Row 476
[SAVED] -> IBQ | Gilli Danda | Row 489
[SAVED] -> IBQ | Gilli Danda | Row 499
[SAVED] -> IBQ | Gilli Danda | Row 509
[SAVED] -> IBQ | Gilli Danda | Row 519
[SAVED] -> IBQ | Gilli Danda | Row 529
[SAVED] -> IBQ | Gilli Danda | Row 539
[SAVED] -> IBQ | Gilli Danda | Row 549
[SAVED] -> IBQ | Tent Pegging | Row 0
[SAVED] -> IBQ | Tent Pegging | Row 1
[SAVED] -> IBQ | Tent Pegging | Row 2
[SAVED] -> IBQ | Tent Pegging | Row 3
[SAVED] -> IBQ | Tent Pegging | Row 4
[SAVED] -> IBQ | Tent Pegging | Row 5
[SAVED] -> IBQ | Tent Pegging | Row 6
[SAVED] -> IBQ | Tent Pegging | Row 7
[SAVED] -> IBQ | Tent Pegging | Row 8
[SAVED] -> IBQ | Tent Pegging | Row 9
[SAVED] -> IBQ | Tent Pegging | Row 10
[SAVED] -> IBQ | Tent Pegging | Row 11
[SAVED] -> IBQ | Tent Pegging | Row 12
[SAVED] -> IBQ | Tent Pegging | Row 13
[SAVED] -> IBQ | Tent Pegging | Row 14
[SAVED] -> IBQ | Tent Pegging | Row 15
[SAVED] -> IBQ | Tent Pegging | Row 16
[SAVED] -> IBQ | Tent Pegging | Row 18
[SAVED] -> IBQ | Tent Pegging | Row 20
[SAVED] -> IBQ | Tent Pegging | Row 27
[SAVED] -> IBQ | Tent Pegging | Row 30
[SAVED] -> IBQ | Tent Pegging | Row 32
[SAVED] -> IBQ | Tent Pegging | Row 34
[SAVED] -> IBQ | Tent Pegging | Row 35
[SAVED] -> IBQ | Tent Pegging | Row 40
[SAVED] -> IBQ | Tent Pegging | Row 50
[SAVED] -> IBQ | Tent Pegging | Row 60
[SAVED] -> IBQ | Tent Pegging | Row 70
[SAVED] -> IBQ | Tent Pegging | Row 80
[SAVED] -> IBQ | Tent Pegging | Row 90
[SAVED] -> IBQ | Tent Pegging | Row 110
[SAVED] -> IBQ | Tent Pegging | Row 120
[SAVED] -> IBQ | Tent Pegging | Row 130
[SAVED] -> IBQ | Tent Pegging | Row 140
[SAVED] -> IBQ | Tent Pegging | Row 150
[SAVED] -> IBQ | Tent Pegging | Row 160
[SAVED] -> IBQ | Tent Pegging | Row 170
[SAVED] -> IBQ | Tent Pegging | Row 180
[SAVED] -> IBQ | Tent Pegging | Row 200
[SAVED] -> IBQ | Tent Pegging | Row 210
[SAVED] -> IBQ | Tent Pegging | Row 220
[SAVED] -> IBQ | Tent Pegging | Row 230
[SAVED] -> IBQ | Tent Pegging | Row 240
[SAVED] -> IBQ | Tent Pegging | Row 250
[SAVED] -> IBQ | Tent Pegging | Row 252
[SAVED] -> IBQ | Tent Pegging | Row 270
[SAVED] -> IBQ | Tent Pegging | Row 280
[SAVED] -> IBQ | Tent Pegging | Row 290
[SAVED] -> IBQ | Tent Pegging | Row 300
[SAVED] -> IBQ | Tent Pegging | Row 310
[SAVED] -> IBQ | Tent Pegging | Row 320
[SAVED] -> IBQ | Tent Pegging | Row 330
[SAVED] -> IBQ | Tent Pegging | Row 340
[SAVED] -> IBQ | Tent Pegging | Row 350
[SAVED] -> IBQ | Tent Pegging | Row 360
[SAVED] -> IBQ | Tent Pegging | Row 370
[SAVED] -> IBQ | Malakhra | Row 0
[SAVED] -> IBQ | Malakhra | Row 1
[SAVED] -> IBQ | Malakhra | Row 2
[SAVED] -> IBQ | Malakhra | Row 3
[SAVED] -> IBQ | Malakhra | Row 4
[SAVED] -> IBQ | Malakhra | Row 5
[SAVED] -> IBQ | Malakhra | Row 6
[SAVED] -> IBQ | Malakhra | Row 7
[SAVED] -> IBQ | Malakhra | Row 8
[SAVED] -> IBQ | Malakhra | Row 9
[SAVED] -> IBQ | Malakhra | Row 10
[SAVED] -> IBQ | Malakhra | Row 11
[SAVED] -> IBQ | Malakhra | Row 15
[SAVED] -> IBQ | Malakhra | Row 20
[SAVED] -> IBQ | Malakhra | Row 30
[SAVED] -> IBQ | Malakhra | Row 31
[SAVED] -> IBQ | Malakhra | Row 40
[SAVED] -> IBQ | Malakhra | Row 50
[SAVED] -> IBQ | Malakhra | Row 55
[SAVED] -> IBQ | Malakhra | Row 60
[SAVED] -> IBQ | Malakhra | Row 70
[SAVED] -> IBQ | Malakhra | Row 71
[SAVED] -> IBQ | Malakhra | Row 72
[SAVED] -> IBQ | Malakhra | Row 73
[SAVED] -> IBQ | Malakhra | Row 74
[SAVED] -> IBQ | Malakhra | Row 75
[SAVED] -> IBQ | Malakhra | Row 78
[SAVED] -> IBQ | Malakhra | Row 79
[SAVED] -> IBQ | Malakhra | Row 80
[SAVED] -> IBQ | Malakhra | Row 90
[SAVED] -> IBQ | Malakhra | Row 100
[SAVED] -> IBQ | Malakhra | Row 110
[SAVED] -> IBQ | Malakhra | Row 120
[SAVED] -> IBQ | Malakhra | Row 130
[SAVED] -> IBQ | Malakhra | Row 140
[SAVED] -> IBQ | Malakhra | Row 150
[SAVED] -> IBQ | Malakhra | Row 160
[SAVED] -> IBQ | Malakhra | Row 170
[SAVED] -> IBQ | Malakhra | Row 180
[SAVED] -> IBQ | Malakhra | Row 190
[SAVED] -> IBQ | Malakhra | Row 200
[SAVED] -> IBQ | Malakhra | Row 210
[SAVED] -> IBQ | Malakhra | Row 220
[SAVED] -> IBQ | Malakhra | Row 230
[SAVED] -> IBQ | Malakhra | Row 240
[SAVED] -> IBQ | Malakhra | Row 250
[SAVED] -> IBQ | Malakhra | Row 260
[SAVED] -> IBQ | Malakhra | Row 270
[SAVED] -> IBQ | Malakhra | Row 280
[SAVED] -> IBQ | Malakhra | Row 300
[SAVED] -> IBQ | Malakhra | Row 310
[SAVED] -> IBQ | Malakhra | Row 320
[SAVED] -> IBQ | Malakhra | Row 330
[SAVED] -> IBQ | Malakhra | Row 340

[COMPLETE]!
Live-updating CSV: Results_IBQ.csv
Ended at: 17:22:28
Total Duration: 0:18:16.829136
[SUCCESS] Successfully created 'Results_IBQ.xlsx'
