Started at: 21:03:19

📌 Processing: /DATA/rohan_kirti/country/ethopia/HBQ/Ethopia_HBQ.xlsx
✅ Saved → HBQ | Yeferas Guks | Row 7
✅ Saved → HBQ | Yeferas Guks | Row 8
✅ Saved → HBQ | Yeferas Guks | Row 9
✅ Saved → HBQ | Yeferas Guks | Row 10
✅ Saved → HBQ | Yeferas Guks | Row 11
✅ Saved → HBQ | Yeferas Guks | Row 12
✅ Saved → HBQ | Yeferas Guks | Row 13
✅ Saved → HBQ | Yeferas Guks | Row 17
✅ Saved → HBQ | Yeferas Guks | Row 25
✅ Saved → HBQ | Yeferas Guks | Row 26
✅ Saved → HBQ | Yeferas Guks | Row 28
✅ Saved → HBQ | Yeferas Guks | Row 29
✅ Saved → HBQ | Yeferas Guks | Row 30
✅ Saved → HBQ | Yeferas Guks | Row 31
✅ Saved → HBQ | Yeferas Guks | Row 32
✅ Saved → HBQ | Yeferas Guks | Row 33
✅ Saved → HBQ | Yeferas Guks | Row 34
✅ Saved → HBQ | Yeferas Guks | Row 35
✅ Saved → HBQ | Yeferas Guks | Row 36
✅ Saved → HBQ | Yeferas Guks | Row 37
✅ Saved → HBQ | Yeferas Guks | Row 38
✅ Saved → HBQ | Yeferas Guks | Row 39
✅ Saved → HBQ | Yeferas Guks | Row 40
✅ Saved → HBQ | Yeferas Guks | Row 41
✅ Saved → HBQ | Yeferas Guks | Row 42
✅ Saved → HBQ | Yeferas Guks | Row 43
✅ Saved → HBQ | Yeferas Guks | Row 44
✅ Saved → HBQ | Yeferas Guks | Row 45
✅ Saved → HBQ | Yeferas Guks | Row 46
✅ Saved → HBQ | Yeferas Guks | Row 47
✅ Saved → HBQ | Yeferas Guks | Row 48
✅ Saved → HBQ | Yeferas Guks | Row 49
✅ Saved → HBQ | Yeferas Guks | Row 50
✅ Saved → HBQ | Yeferas Guks | Row 51
✅ Saved → HBQ | Yeferas Guks | Row 52
✅ Saved → HBQ | Yeferas Guks | Row 53
✅ Saved → HBQ | Yeferas Guks | Row 54
✅ Saved → HBQ | Yeferas Guks | Row 55
✅ Saved → HBQ | Yeferas Guks | Row 56
✅ Saved → HBQ | Yeferas Guks | Row 57
✅ Saved → HBQ | Yeferas Guks | Row 58
✅ Saved → HBQ | Yeferas Guks | Row 59
✅ Saved → HBQ | Yeferas Guks | Row 60
✅ Saved → HBQ | Yeferas Guks | Row 61
✅ Saved → HBQ | Yeferas Guks | Row 62
✅ Saved → HBQ | Yeferas Guks | Row 63
✅ Saved → HBQ | Yeferas Guks | Row 64
✅ Saved → HBQ | Yeferas Guks | Row 65
✅ Saved → HBQ | Yeferas Guks | Row 66
✅ Saved → HBQ | Yeferas Guks | Row 67
✅ Saved → HBQ | Yeferas Guks | Row 68
✅ Saved → HBQ | Yeferas Guks | Row 69
✅ Saved → HBQ | Yeferas Guks | Row 70
✅ Saved → HBQ | Yeferas Guks | Row 71
✅ Saved → HBQ | Yeferas Guks | Row 72
✅ Saved → HBQ | Yeferas Guks | Row 73
✅ Saved → HBQ | Yeferas Guks | Row 74
✅ Saved → HBQ | Yeferas Guks | Row 75
✅ Saved → HBQ | Yeferas Guks | Row 76
✅ Saved → HBQ | Yeferas Guks | Row 77
✅ Saved → HBQ | Yeferas Guks | Row 78
✅ Saved → HBQ | Yeferas Guks | Row 79
✅ Saved → HBQ | Yeferas Guks | Row 80
✅ Saved → HBQ | Yeferas Guks | Row 81
✅ Saved → HBQ | Yeferas Guks | Row 82
✅ Saved → HBQ | Yeferas Guks | Row 83
✅ Saved → HBQ | Yeferas Guks | Row 84
✅ Saved → HBQ | Yeferas Guks | Row 85
✅ Saved → HBQ | Yeferas Guks | Row 86
✅ Saved → HBQ | Yeferas Guks | Row 87
✅ Saved → HBQ | Yeferas Guks | Row 88
✅ Saved → HBQ | Yeferas Guks | Row 89
✅ Saved → HBQ | Yeferas Guks | Row 90
✅ Saved → HBQ | Yeferas Guks | Row 91
✅ Saved → HBQ | Yeferas Guks | Row 92
✅ Saved → HBQ | Yeferas Guks | Row 93
✅ Saved → HBQ | Yeferas Guks | Row 94
✅ Saved → HBQ | Yeferas Guks | Row 95
✅ Saved → HBQ | Yeferas Guks | Row 96
✅ Saved → HBQ | Yeferas Guks | Row 97
✅ Saved → HBQ | Yeferas Guks | Row 98
✅ Saved → HBQ | Yeferas Guks | Row 99
✅ Saved → HBQ | Yeferas Guks | Row 100
✅ Saved → HBQ | Yeferas Guks | Row 102
✅ Saved → HBQ | Yeferas Guks | Row 103
✅ Saved → HBQ | Yeferas Guks | Row 104
✅ Saved → HBQ | Yeferas Guks | Row 105
✅ Saved → HBQ | Yeferas Guks | Row 106
✅ Saved → HBQ | Yeferas Guks | Row 107
✅ Saved → HBQ | Yeferas Guks | Row 108
✅ Saved → HBQ | Yeferas Guks | Row 109
✅ Saved → HBQ | Yeferas Guks | Row 110
✅ Saved → HBQ | Yeferas Guks | Row 111
✅ Saved → HBQ | Yeferas Guks | Row 112
✅ Saved → HBQ | Yeferas Guks | Row 113
✅ Saved → HBQ | Yeferas Guks | Row 114
✅ Saved → HBQ | Yeferas Guks | Row 115
✅ Saved → HBQ | Yeferas Guks | Row 116
✅ Saved → HBQ | Yeferas Guks | Row 117
✅ Saved → HBQ | Yeferas Guks | Row 118
✅ Saved → HBQ | Yeferas Guks | Row 119
✅ Saved → HBQ | Yeferas Guks | Row 120
✅ Saved → HBQ | Yeferas Guks | Row 121
✅ Saved → HBQ | Yeferas Guks | Row 122
✅ Saved → HBQ | Yeferas Guks | Row 123
✅ Saved → HBQ | Yeferas Guks | Row 124
✅ Saved → HBQ | Yeferas Guks | Row 125
✅ Saved → HBQ | Yeferas Guks | Row 126
✅ Saved → HBQ | Yeferas Guks | Row 127
✅ Saved → HBQ | Yeferas Guks | Row 128
