Started at: 10:31:57
['/DATA/rohan_kirti/country/pakistan/RBQ/Pakistan_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/pakistan/RBQ/Pakistan_RBQ.xlsx
✅ Saved → RBQ | Chaturanga | Row 129
✅ Saved → RBQ | Chaturanga | Row 130
✅ Saved → RBQ | Chaturanga | Row 131
✅ Saved → RBQ | Chaturanga | Row 132
✅ Saved → RBQ | Chaturanga | Row 133
✅ Saved → RBQ | Chaturanga | Row 134
✅ Saved → RBQ | Chaturanga | Row 135
✅ Saved → RBQ | Chaturanga | Row 136
✅ Saved → RBQ | Chaturanga | Row 137
✅ Saved → RBQ | Chaturanga | Row 138
✅ Saved → RBQ | Chaturanga | Row 139
✅ Saved → RBQ | Chaturanga | Row 140
✅ Saved → RBQ | Chaturanga | Row 141
✅ Saved → RBQ | Chaturanga | Row 142
✅ Saved → RBQ | Chaturanga | Row 143
✅ Saved → RBQ | Chaturanga | Row 144
✅ Saved → RBQ | Chaturanga | Row 145
✅ Saved → RBQ | Chaturanga | Row 146
✅ Saved → RBQ | Chaturanga | Row 147
✅ Saved → RBQ | Chaturanga | Row 148
✅ Saved → RBQ | Chaturanga | Row 149
✅ Saved → RBQ | Buzkashi | Row 0
✅ Saved → RBQ | Buzkashi | Row 1
✅ Saved → RBQ | Buzkashi | Row 2
✅ Saved → RBQ | Buzkashi | Row 3
✅ Saved → RBQ | Buzkashi | Row 4
✅ Saved → RBQ | Buzkashi | Row 5
✅ Saved → RBQ | Buzkashi | Row 6
✅ Saved → RBQ | Buzkashi | Row 7
✅ Saved → RBQ | Buzkashi | Row 8
✅ Saved → RBQ | Buzkashi | Row 9
✅ Saved → RBQ | Buzkashi | Row 10
✅ Saved → RBQ | Buzkashi | Row 11
✅ Saved → RBQ | Buzkashi | Row 12
✅ Saved → RBQ | Buzkashi | Row 13
✅ Saved → RBQ | Buzkashi | Row 14
✅ Saved → RBQ | Buzkashi | Row 15
✅ Saved → RBQ | Buzkashi | Row 16
✅ Saved → RBQ | Buzkashi | Row 17
✅ Saved → RBQ | Buzkashi | Row 18
✅ Saved → RBQ | Buzkashi | Row 19
✅ Saved → RBQ | Buzkashi | Row 20
✅ Saved → RBQ | Buzkashi | Row 21
✅ Saved → RBQ | Buzkashi | Row 22
✅ Saved → RBQ | Buzkashi | Row 23
✅ Saved → RBQ | Buzkashi | Row 24
✅ Saved → RBQ | Buzkashi | Row 25
✅ Saved → RBQ | Buzkashi | Row 26
✅ Saved → RBQ | Buzkashi | Row 27
✅ Saved → RBQ | Buzkashi | Row 28
✅ Saved → RBQ | Buzkashi | Row 29
✅ Saved → RBQ | Buzkashi | Row 30
✅ Saved → RBQ | Buzkashi | Row 31
✅ Saved → RBQ | Buzkashi | Row 32
✅ Saved → RBQ | Buzkashi | Row 33
✅ Saved → RBQ | Buzkashi | Row 34
✅ Saved → RBQ | Buzkashi | Row 35
✅ Saved → RBQ | Buzkashi | Row 36
✅ Saved → RBQ | Buzkashi | Row 37
✅ Saved → RBQ | Buzkashi | Row 38
✅ Saved → RBQ | Buzkashi | Row 39
✅ Saved → RBQ | Buzkashi | Row 40
✅ Saved → RBQ | Buzkashi | Row 41
✅ Saved → RBQ | Buzkashi | Row 42
✅ Saved → RBQ | Buzkashi | Row 43
✅ Saved → RBQ | Buzkashi | Row 44
✅ Saved → RBQ | Buzkashi | Row 45
✅ Saved → RBQ | Buzkashi | Row 46
✅ Saved → RBQ | Buzkashi | Row 47
✅ Saved → RBQ | Buzkashi | Row 48
✅ Saved → RBQ | Buzkashi | Row 49
✅ Saved → RBQ | Buzkashi | Row 50
✅ Saved → RBQ | Buzkashi | Row 51
✅ Saved → RBQ | Buzkashi | Row 52
✅ Saved → RBQ | Buzkashi | Row 53
✅ Saved → RBQ | Buzkashi | Row 54
✅ Saved → RBQ | Buzkashi | Row 55
✅ Saved → RBQ | Buzkashi | Row 56
✅ Saved → RBQ | Buzkashi | Row 57
✅ Saved → RBQ | Buzkashi | Row 58
✅ Saved → RBQ | Buzkashi | Row 59
✅ Saved → RBQ | Buzkashi | Row 60
✅ Saved → RBQ | Buzkashi | Row 61
✅ Saved → RBQ | Buzkashi | Row 62
✅ Saved → RBQ | Buzkashi | Row 63
✅ Saved → RBQ | Buzkashi | Row 64
✅ Saved → RBQ | Buzkashi | Row 65
✅ Saved → RBQ | Buzkashi | Row 66
✅ Saved → RBQ | Buzkashi | Row 67
✅ Saved → RBQ | Buzkashi | Row 68
✅ Saved → RBQ | Buzkashi | Row 69
✅ Saved → RBQ | Buzkashi | Row 70
✅ Saved → RBQ | Buzkashi | Row 71
✅ Saved → RBQ | Buzkashi | Row 72
✅ Saved → RBQ | Buzkashi | Row 73
✅ Saved → RBQ | Buzkashi | Row 74
✅ Saved → RBQ | Buzkashi | Row 75
✅ Saved → RBQ | Buzkashi | Row 76
✅ Saved → RBQ | Buzkashi | Row 77
✅ Saved → RBQ | Buzkashi | Row 78
✅ Saved → RBQ | Buzkashi | Row 79
✅ Saved → RBQ | Buzkashi | Row 80
✅ Saved → RBQ | Buzkashi | Row 81
✅ Saved → RBQ | Buzkashi | Row 82
✅ Saved → RBQ | Buzkashi | Row 83
✅ Saved → RBQ | Buzkashi | Row 84
✅ Saved → RBQ | Buzkashi | Row 85
✅ Saved → RBQ | Buzkashi | Row 86
✅ Saved → RBQ | Buzkashi | Row 87
✅ Saved → RBQ | Buzkashi | Row 88
✅ Saved → RBQ | Buzkashi | Row 89
✅ Saved → RBQ | Buzkashi | Row 90
✅ Saved → RBQ | Buzkashi | Row 91
✅ Saved → RBQ | Buzkashi | Row 92
Failed to decode JSON from model: {
  "score": 0,
  "mistake": "The term 'آگ کی کمی' (lack of fire) is factually incorrect and logically inconsistent in the context of horse breeding. 'ٹھنڈے خون والے' (cold-blooded) horses are not evaluated based on 'fire' (which implies aggression or spirit), but rather on temperament, stamina, and build. The phrase 'آگ کی کمی' is a mistranslation or misuse — in equine terminology, 'hot-blooded' refers to spirited, energetic breeds (like Arabians), while 'cold-blooded' refers to calm, heavy breeds (like draft horses). The correct contrast is 'spirit' or 'energy', not 'fire'.",
  "improved_question": "ٹھنڈے خون والے" گھوڑے کی بنیادی خصوصیت کیا ہے، اور یہ بزکشی کے لیے کیوں نا مناسب ہے؟",
  "improved_options": [
    "ا) وہ جارحانہ ہیں؛ وہ بہت خطرناک ہیں",
    "ب) وہ پرسکون اور سست ہیں؛ ان میں ضروری رفتار اور جانشینی کی کمی ��ے",
    "C) وہ چھوٹے ہیں؛ وہ کافی مضبوط نہیں ہیں",
    "D) وہ نایاب ہیں؛ وہ بہت مہنگے ہیں"
  ],
  "correct_answer": "ب) وہ پرسکون اور سست ہیں؛ ان میں ضروری رفتار اور جانشینی کی کمی ہے"
}
✅ Saved → RBQ | Buzkashi | Row 93
✅ Saved → RBQ | Buzkashi | Row 94
✅ Saved → RBQ | Buzkashi | Row 95
✅ Saved → RBQ | Buzkashi | Row 96
✅ Saved → RBQ | Buzkashi | Row 97
✅ Saved → RBQ | Buzkashi | Row 98
✅ Saved → RBQ | Buzkashi | Row 99
✅ Saved → RBQ | Buzkashi | Row 100
✅ Saved → RBQ | Buzkashi | Row 101
✅ Saved → RBQ | Buzkashi | Row 102
✅ Saved → RBQ | Buzkashi | Row 103
✅ Saved → RBQ | Buzkashi | Row 104
✅ Saved → RBQ | Buzkashi | Row 105
✅ Saved → RBQ | Buzkashi | Row 106
✅ Saved → RBQ | Buzkashi | Row 107
✅ Saved → RBQ | Buzkashi | Row 108
✅ Saved → RBQ | Buzkashi | Row 109
✅ Saved → RBQ | Buzkashi | Row 110
✅ Saved → RBQ | Buzkashi | Row 111
✅ Saved → RBQ | Buzkashi | Row 112
✅ Saved → RBQ | Buzkashi | Row 113
✅ Saved → RBQ | Buzkashi | Row 114
✅ Saved → RBQ | Buzkashi | Row 115
✅ Saved → RBQ | Buzkashi | Row 116
✅ Saved → RBQ | Buzkashi | Row 117
✅ Saved → RBQ | Buzkashi | Row 118
✅ Saved → RBQ | Buzkashi | Row 119
✅ Saved → RBQ | Buzkashi | Row 120
✅ Saved → RBQ | Buzkashi | Row 121
✅ Saved → RBQ | Buzkashi | Row 122
✅ Saved → RBQ | Buzkashi | Row 123
✅ Saved → RBQ | Buzkashi | Row 124
✅ Saved → RBQ | Buzkashi | Row 125
✅ Saved → RBQ | Buzkashi | Row 126
✅ Saved → RBQ | Buzkashi | Row 127
✅ Saved → RBQ | Buzkashi | Row 128
✅ Saved → RBQ | Buzkashi | Row 129
✅ Saved → RBQ | Buzkashi | Row 130
✅ Saved → RBQ | Buzkashi | Row 131
✅ Saved → RBQ | Buzkashi | Row 132
✅ Saved → RBQ | Buzkashi | Row 133
✅ Saved → RBQ | Buzkashi | Row 134
✅ Saved → RBQ | Buzkashi | Row 135
✅ Saved → RBQ | Buzkashi | Row 136
✅ Saved → RBQ | Buzkashi | Row 137
✅ Saved → RBQ | Buzkashi | Row 138
✅ Saved → RBQ | Buzkashi | Row 139
✅ Saved → RBQ | Buzkashi | Row 140
✅ Saved → RBQ | Buzkashi | Row 141
✅ Saved → RBQ | Buzkashi | Row 142
✅ Saved → RBQ | Buzkashi | Row 143
✅ Saved → RBQ | Buzkashi | Row 144
✅ Saved → RBQ | Buzkashi | Row 145
✅ Saved → RBQ | Buzkashi | Row 146
✅ Saved → RBQ | Buzkashi | Row 147
✅ Saved → RBQ | Buzkashi | Row 148
✅ Saved → RBQ | Buzkashi | Row 149
✅ Saved → RBQ | Gatka | Row 0
✅ Saved → RBQ | Gatka | Row 1
✅ Saved → RBQ | Gatka | Row 2
✅ Saved → RBQ | Gatka | Row 3
✅ Saved → RBQ | Gatka | Row 4
✅ Saved → RBQ | Gatka | Row 5
✅ Saved → RBQ | Gatka | Row 6
✅ Saved → RBQ | Gatka | Row 7
✅ Saved → RBQ | Gatka | Row 8
✅ Saved → RBQ | Gatka | Row 9
✅ Saved → RBQ | Gatka | Row 10
✅ Saved → RBQ | Gatka | Row 11
✅ Saved → RBQ | Gatka | Row 12
✅ Saved → RBQ | Gatka | Row 13
✅ Saved → RBQ | Gatka | Row 14
✅ Saved → RBQ | Gatka | Row 15
✅ Saved → RBQ | Gatka | Row 16
✅ Saved → RBQ | Gatka | Row 17
✅ Saved → RBQ | Gatka | Row 18
✅ Saved → RBQ | Gatka | Row 19
