Started at: 09:50:59

📌 Processing: /DATA/rohan_kirti/country/sudan/HBQ/Sudan_HBQ.xlsx
✅ Saved → HBQ | Cow_Fighting | Row 120
✅ Saved → HBQ | Cow_Fighting | Row 121
✅ Saved → HBQ | Cow_Fighting | Row 122
✅ Saved → HBQ | Cow_Fighting | Row 123
✅ Saved → HBQ | Cow_Fighting | Row 124
✅ Saved → HBQ | Cow_Fighting | Row 125
✅ Saved → HBQ | Cow_Fighting | Row 126
✅ Saved → HBQ | Cow_Fighting | Row 127
✅ Saved → HBQ | Cow_Fighting | Row 128
✅ Saved → HBQ | Cow_Fighting | Row 129
✅ Saved → HBQ | Cow_Fighting | Row 130
✅ Saved → HBQ | Cow_Fighting | Row 131
✅ Saved → HBQ | Cow_Fighting | Row 132
✅ Saved → HBQ | Cow_Fighting | Row 133
✅ Saved → HBQ | Cow_Fighting | Row 134
✅ Saved → HBQ | Cow_Fighting | Row 135
✅ Saved → HBQ | Cow_Fighting | Row 136
✅ Saved → HBQ | Cow_Fighting | Row 137
✅ Saved → HBQ | Cow_Fighting | Row 138
✅ Saved → HBQ | Cow_Fighting | Row 139
✅ Saved → HBQ | Cow_Fighting | Row 140
✅ Saved → HBQ | Cow_Fighting | Row 141
✅ Saved → HBQ | Cow_Fighting | Row 142
✅ Saved → HBQ | Cow_Fighting | Row 143
✅ Saved → HBQ | Horse_Racing | Row 0
✅ Saved → HBQ | Horse_Racing | Row 1
✅ Saved → HBQ | Horse_Racing | Row 2
✅ Saved → HBQ | Horse_Racing | Row 3
✅ Saved → HBQ | Horse_Racing | Row 4
✅ Saved → HBQ | Horse_Racing | Row 5
✅ Saved → HBQ | Horse_Racing | Row 6
✅ Saved → HBQ | Horse_Racing | Row 7
✅ Saved → HBQ | Horse_Racing | Row 8
✅ Saved → HBQ | Horse_Racing | Row 9
✅ Saved → HBQ | Horse_Racing | Row 10
✅ Saved → HBQ | Horse_Racing | Row 11
✅ Saved → HBQ | Horse_Racing | Row 12
✅ Saved → HBQ | Horse_Racing | Row 13
✅ Saved → HBQ | Horse_Racing | Row 14
✅ Saved → HBQ | Horse_Racing | Row 15
✅ Saved → HBQ | Horse_Racing | Row 16
✅ Saved → HBQ | Horse_Racing | Row 17
✅ Saved → HBQ | Horse_Racing | Row 18
✅ Saved → HBQ | Horse_Racing | Row 19
✅ Saved → HBQ | Horse_Racing | Row 20
✅ Saved → HBQ | Horse_Racing | Row 21
✅ Saved → HBQ | Horse_Racing | Row 22
✅ Saved → HBQ | Horse_Racing | Row 23
✅ Saved → HBQ | Horse_Racing | Row 24
✅ Saved → HBQ | Horse_Racing | Row 25
✅ Saved → HBQ | Horse_Racing | Row 26
✅ Saved → HBQ | Horse_Racing | Row 27
✅ Saved → HBQ | Horse_Racing | Row 28
✅ Saved → HBQ | Horse_Racing | Row 29
✅ Saved → HBQ | Horse_Racing | Row 30
✅ Saved → HBQ | Horse_Racing | Row 31
✅ Saved → HBQ | Horse_Racing | Row 32
✅ Saved → HBQ | Horse_Racing | Row 33
✅ Saved → HBQ | Horse_Racing | Row 34
✅ Saved → HBQ | Horse_Racing | Row 35
✅ Saved → HBQ | Horse_Racing | Row 36
✅ Saved → HBQ | Horse_Racing | Row 37
✅ Saved → HBQ | Horse_Racing | Row 38
✅ Saved → HBQ | Horse_Racing | Row 39
✅ Saved → HBQ | Horse_Racing | Row 40
✅ Saved → HBQ | Horse_Racing | Row 41
✅ Saved → HBQ | Horse_Racing | Row 42
✅ Saved → HBQ | Horse_Racing | Row 43
✅ Saved → HBQ | Horse_Racing | Row 44
✅ Saved → HBQ | Horse_Racing | Row 45
✅ Saved → HBQ | Horse_Racing | Row 46
✅ Saved → HBQ | Horse_Racing | Row 47
✅ Saved → HBQ | Horse_Racing | Row 48
✅ Saved → HBQ | Horse_Racing | Row 49
